id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Academia de Ginastica_10.093.874,A! Body Tech,Brooklin Guararapes,Rua,"R Guararapes, 20",Alto Da Lapa,04561-000,Academia de Ginastica,-23.522665,-46.704165
Academia de Ginastica_10.156.197,Companhia Athletica,,Shopping Center,"Av Roque Petroni Júnior, 1089",Chácara Santo Antônio,"[4707900, 4707970]",Academia de Ginastica,-23.623109,-46.698569
Academia de Ginastica_10.395.293,Companhia Athletica,Cia111,Rua,"R José Guerra, 111",Chácara Santo Antônio,04719-030,Academia de Ginastica,-23.618596,-46.573278
Academia de Ginastica_11.093.385,Engenharia do Corpo,Academia Engenharia do Corpo,Rua,Av. Reg. Feijó,Vila Reg. Feijó,03342-001,Academia de Ginastica,-23.779579,-45.358564
Academia de Ginastica_11.093.386,Smart Fit,Academia Smart Fit Avenida Conselheiro Carrao,Rua,Av. Conselheiro Carrão,Vila Gomes Cardim,03403-000,Academia de Ginastica,-23.549771,-46.545412
Academia de Ginastica_11.093.387,Bluefit,Bluefit,Rua,Alfredo Pujol,Santana,02017-011,Academia de Ginastica,-23.500255,-46.634622
Academia de Ginastica_11.093.388,Smart Fit,Academia Smart Fit Tiete Plaza Shopping,Rua,Av. Raimundo Pereira de Magalhães,Vila Pirituba,02675-031,Academia de Ginastica,-23.460084,-46.720966
Academia de Ginastica_11.093.389,Smart Fit,Academia Smart Fit Sapopemba,Rua,Av. Sapopemba,Jardim Adutora,03988-010,Academia de Ginastica,-23.620798,-46.513838
Academia de Ginastica_11.093.390,Smart Fit,Academia Smart Fit Imirim,Rua,Av. Eng. Caetano Álvares,Imirim,02413-100,Academia de Ginastica,-23.50488,-46.667358
Academia de Ginastica_11.093.391,Smart Fit,Academia Smart Fit Vila Formosa,Rua,Av. Ver. Abel Ferreira,Vila Formosa,03372-015,Academia de Ginastica,-23.565181,-46.558989
Academia de Ginastica_11.093.392,Smart Fit,Academia Smart Fit Casa Verde Baixa,Rua,Rua Bernardino Fanganiello,Casa Verde,02512-000,Academia de Ginastica,-23.513044,-46.659692
Academia de Ginastica_11.093.393,Bluefit,Bluefit,Rua,R. Mateus Mascarenhas,Jardim Pereira Leite,02712-000,Academia de Ginastica,-23.652387,-46.533937
Academia de Ginastica_11.093.394,Bluefit,Academia Bluefit Vila Guilherme,Rua,Av. Joaquina Ramalho,Vila Guilherme,02065-040,Academia de Ginastica,-23.517187,-46.610453
Academia de Ginastica_11.093.395,Smart Fit,Academia Smart Fit Washington Luis,Rua,Av. Washington Luís,Santo Amaro,04662-002,Academia de Ginastica,-23.640015,-46.673749
Academia de Ginastica_11.093.396,Smart Fit,Academia Smart Fit Agua Branca,Rua,Av. Francisco Matarazzo,Água Branca,05001-100,Academia de Ginastica,-22.751938,-47.629119
Academia de Ginastica_11.093.397,Panobianco,Panobianco Vila Ema,Rua,Av. Vila Ema,Vila Graciosa,03282-001,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.093.398,Bluefit,Bluefit Continental,Rua,100 Pavmto2,Parque Continental,05328-020,Academia de Ginastica,-23.546261,-46.761435
Academia de Ginastica_11.093.399,Smart Fit,Academia Smart Fit Atlantica,Rua,Av. Inácio Cunha Leme,Jardim Ipanema,04784-145,Academia de Ginastica,-23.652387,-46.533937
Academia de Ginastica_11.093.400,Bio Ritmo,Academia Bio Ritmo Morumbi,Rua,Av. Giovanni Gronchi,Vila Andrade,05724-003,Academia de Ginastica,-23.617229,-46.731713
Academia de Ginastica_11.093.401,Smart Fit,Academia Smart Fit Jamaris,Rua,Av. Jamaris,Planalto Paulista,04078-001,Academia de Ginastica,-23.699226,-46.56788
Academia de Ginastica_11.093.402,Smart Fit,Academia Smart Fit Shopping Heliopolis,Rua,Est. das Lágrimas,São João Climaco,04244-000,Academia de Ginastica,-23.412811,-46.456712
Academia de Ginastica_11.093.403,Smart Fit,Academia Smart Fit Avenida Celso Garcia,Rua,Av. Celso Garcia,Tatuapé,03064-000,Academia de Ginastica,-23.535244,-46.582602
Academia de Ginastica_11.093.404,Bluefit,Bluefit,Rua,R. Nossa Sra. das Mercês,Vila das Merces,04165-011,Academia de Ginastica,-23.624154,-46.607257
Academia de Ginastica_11.093.405,Smart Fit,Academia Smart Fit Itaim Paulista,Rua,Rua Tibúrcio de Sousa,Itaim Paulista,08140-000,Academia de Ginastica,-23.50496,-46.396507
Academia de Ginastica_11.093.406,Bluefit,Bluefit,Rua,Av. Pres. Tancredo Neves,Sacomã,04287-010,Academia de Ginastica,-23.614427,-46.608581
Academia de Ginastica_11.093.407,Smart Fit,Academia Smart Fit Teodoro Sampaio,Rua,R. Teodoro Sampaio,Pinheiros,05405-200,Academia de Ginastica,-23.561305,-46.683749
Academia de Ginastica_11.093.408,Smart Fit,Academia Smart Fit Ponte Rasa,Rua,Av. São Miguel,Vila Marieta,03619-100,Academia de Ginastica,-23.493914,-46.439603
Academia de Ginastica_11.093.409,Smart Fit,Academia Smart Fit Raposo Tavares,Rua,Rod. Raposo Tavares,Jardim Cambara,05577-901,Academia de Ginastica,-23.586236,-46.811597
Academia de Ginastica_11.093.410,Smart Fit,Academia Smart Fit Avenida Santa Catarina,Rua,Av. Santa Catarina,Vila Mascote,04378-300,Academia de Ginastica,-27.961398,-48.681921
Academia de Ginastica_11.093.411,Smart Fit,Academia Smart Fit Vila Guilherme,Rua,Av. Joaquina Ramalho,Vila Guilherme,02065-000,Academia de Ginastica,-23.517187,-46.610453
Academia de Ginastica_11.093.412,Panobianco,Academia Panobianco Sao Rafael,Rua,Av. Sen. Teotônio Vilela,Jardim Sao Rafael,04833-000,Academia de Ginastica,-23.627917,-46.454945
Academia de Ginastica_11.093.413,Smart Fit,Academia Smart Fit Roldao Brasilandia,Rua,R. Domingos Vega,Vila Joao Batista,02837-000,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.093.414,Bluefit,Bluefit,Rua,Av. Hélio Pellegrino,Vila Nova Conceição,04513-100,Academia de Ginastica,-23.895597,-46.425581
Academia de Ginastica_11.093.415,Bio Ritmo,Academia Bio Ritmo Nacoes Unidas,Rua,Av. das Nações Unidas,Brooklin,04578-910,Academia de Ginastica,-23.5247,-46.758439
Academia de Ginastica_11.093.416,Panobianco,Academia Panobianco Vila Antonieta,Rua,Av. Inconfidência Mineira,Vila Antonieta,03476-010,Academia de Ginastica,-23.576075,-46.515466
Academia de Ginastica_11.093.417,Smart Fit,Academia Smart Fit Paulista,Rua,Av. Paulista,Bela Vista,01310-100,Academia de Ginastica,-23.56329,-46.654118
