id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Agencia Bancaria_10.024.712,Itaú,SP Teotonio Villela,Rua,"Av Senador Teotonio Vilela, 1192",Cidade Dutra,04801-000,Agencia Bancaria,-23.711932,-46.699143
Agencia Bancaria_10.024.726,Santander,001 - 4748 Interlagos II - SP - SP,Rua,"Av Nossa Senhora do Sabara, 2507",Vila Santana,04685-006,Agencia Bancaria,-23.676534,-46.68552
Agencia Bancaria_10.024.729,Santander,Guarapiranga,Rua,"Av de Pinedo, 353",Socorro,04764-001,Agencia Bancaria,-23.668674,-46.713358
Agencia Bancaria_10.024.730,Santander,Capela do Socorro/capital,Rua,"Av de Pinedo, 353",Socorro,04764-001,Agencia Bancaria,-23.668674,-46.713358
Agencia Bancaria_10.024.731,Bradesco,"Prime Capela do Socorro,urb. Sao Paulo, SP",Rua,"Av de Pinedo, 342",Socorro,04764-000,Agencia Bancaria,-23.667979,-46.714042
Agencia Bancaria_10.024.732,Bb,Capela do Socorro,Rua,"Av de Pinedo, 186",Socorro,04764-000,Agencia Bancaria,-23.666924,-46.713239
Agencia Bancaria_10.024.733,Cef,"M Boi Mirim, SP",Rua,"Estr do M Boi Mirim, 909",Jardim das Flores,04905-020,Agencia Bancaria,-23.536505,-46.79336
Agencia Bancaria_10.024.746,Santander,Corporate Vi,Rua,"R Amador Bueno, 474",Santo Amaro,04752-901,Agencia Bancaria,-23.652343,-46.714667
Agencia Bancaria_10.024.747,Santander,Private Sao Paulo,Rua,"R Amador Bueno, 474",Santo Amaro,04752-901,Agencia Bancaria,-23.652343,-46.714667
Agencia Bancaria_10.024.748,Santander,Vila Santa Catarina I,Rua,"Av Santa Catarina, 2209",Vila Mascote,04378-400,Agencia Bancaria,-23.552139,-46.647198
Agencia Bancaria_10.024.749,Santander,Vl Mascote - SP - SP,Rua,"Av Santa Catarina,, 2209",Vila Mascote,04378-400,Agencia Bancaria,-23.552139,-46.647198
Agencia Bancaria_10.024.751,Santander,Barão Rio Branco - Cap - SP,Rua,"R Barao do Rio Branco, 402",Santo Amaro,04753-000,Agencia Bancaria,-23.651641,-46.708833
Agencia Bancaria_10.024.752,Santander,Ag. Urb - SP - Rua Cap. Tiago Luz,Rua,"Av Adolfo Pinheiro, 159",Santo Amaro,04733-000,Agencia Bancaria,-23.650998,-46.70525
Agencia Bancaria_10.024.753,Santander,Lgo 13 Maio - SP - SP,Rua,"Avenida_adolfo Pinheiro, 159",Santo Amaro,04733-000,Agencia Bancaria,-23.650998,-46.70525
Agencia Bancaria_10.024.754,Bb,Escr. Exc. Sto Amaro,Rua,"R Paulo Eiro, 471",Sto Amaro,04752-010,Agencia Bancaria,-23.652801,-46.707748
Agencia Bancaria_10.024.755,Bb,Centro Empresarial,Shopping Center,"Av Maria Coelho Aguiar, 215",Jd.sao Luis,05805-000,Agencia Bancaria,-23.647098,-46.73072
Agencia Bancaria_10.024.756,Bb,Escr. Exc. Paulistano,Shopping Center,"Av Maria Coelho Aguiar, 215",Jd S Luis,05805-000,Agencia Bancaria,-23.647098,-46.73072
Agencia Bancaria_10.024.757,Bb,Escr. Exc. Paulista,Shopping Center,"Av Maria Coelho Aguiar, 215",Jd S Luis,05805-000,Agencia Bancaria,-23.647098,-46.73072
Agencia Bancaria_10.024.758,Bb,Escr. Exc. Cto Empres,Shopping Center,"Av Maria Coelho Aguiar, 215",Jd S Luis,05805-000,Agencia Bancaria,-23.647098,-46.73072
Agencia Bancaria_10.024.759,Bb,Escr. Exc. Governo Sp1,Shopping Center,"Av Maria Coelho Aguiar, 215",Jd S Luis,05805-000,Agencia Bancaria,-23.647098,-46.73072
Agencia Bancaria_10.024.760,Bb,Escr. Exc. Governo Sp2,Shopping Center,"Av Maria Coelho Aguiar, 215",Jd S Luis,05805-000,Agencia Bancaria,-23.647098,-46.73072
Agencia Bancaria_10.024.761,Bb,Escr. Exc. Capital,Shopping Center,"Av Maria Coelho Aguiar, 215",Jd S Luis,05805-000,Agencia Bancaria,-23.647098,-46.73072
Agencia Bancaria_10.024.762,Santander,Irineu Marinho - SP - SP,Rua,"Av Adolfo Pinheiro, 1166",Santo Amaro,04734-002,Agencia Bancaria,-23.643457,-46.699329
Agencia Bancaria_10.024.763,Santander,Alto da B. Vista I - Cap - SP,Rua,"Av Adolfo Pinheiro, 1072",Santo Amaro,04734-002,Agencia Bancaria,-23.644271,-46.69981
Agencia Bancaria_10.024.765,Santander,001 - 0721 Adolfo Pinheiro - SP - SP,Rua,"Av Adolfo Pinheiro, 1332",Santo Amaro,04734-002,Agencia Bancaria,-23.642571,-46.698743
Agencia Bancaria_10.024.769,Itaú Veículos,Matriz,Rua,"R Tenente Mauro de Miranda, S/N",Parque Jabaquara,04345-030,Agencia Bancaria,-23.636898,-46.642514
Agencia Bancaria_10.024.771,Volkswagen,Matriz,Rua,"R Volkswagen, 291",Parque Jabaquara,43449-000,Agencia Bancaria,-23.636537,-46.644255
Agencia Bancaria_10.024.773,Itaucard,Matriz,Rua,"Pça Alfredo Egydio de Souza Aranha, S/N",Parque Jabaquara,04344-902,Agencia Bancaria,-23.635841,-46.641821
Agencia Bancaria_10.024.774,Hipercard,Matriz,Rua,"Pça Alfredo Egydio de Souza Aranha, 251",Parque Jabaquara,04344-902,Agencia Bancaria,-23.635841,-46.641821
Agencia Bancaria_10.024.775,Itaú,Pvt Ceic Itaú,Rua,"Av Eng Armando de Arruda Pereira, 707",Jabaquara,04309-010,Agencia Bancaria,-23.634143,-46.641804
Agencia Bancaria_10.024.776,Bb,Escr. Exc. Pref. Sp1,Rua,"R Verbo Divino, 1830",Ch Sto Antonio (z Sul),04719-907,Agencia Bancaria,-23.618596,-46.573278
Agencia Bancaria_10.024.778,Santander,001 - 0994 Vl Congonhas - SP - SP,Rua,"Av Washington Luis, 6831",Santo Amaro,04627-005,Agencia Bancaria,-23.623824,-46.661992
Agencia Bancaria_10.024.781,Santander,001 - 0998 Panamby - Cap - SP,Rua,"Av Giovanni Gronchi, 5067",Vl Andrade,05724-003,Agencia Bancaria,-23.624034,-46.733747
Agencia Bancaria_10.024.782,Santander,001 - 3727 Brooklin - SP - SP,Rua,"R Joaquim Nabuco, 138",Brooklin Paulista,04621-001,Agencia Bancaria,-23.4952,-46.557375
Agencia Bancaria_10.024.784,Citibank,Brooklin,Rua,"Av Roque Petroni Júnior, 999",Brooklin,04707-910,Agencia Bancaria,-23.623592,-46.696818
Agencia Bancaria_10.024.785,Bradesco,"Prime Colonial,urb. Sao Paulo, SP",Rua,"R Bernardino de Campos, 25",Santo Amaro,04620-000,Agencia Bancaria,-23.621829,-46.683792
