id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Escola Privada_10075255,Privada,Esc Part Miyagui Colegio,Rua,"Jericino, 550",Chacara California,3442000,Escola Privada,-23.496655,-46.890235
Escola Privada_10075262,Privada,Cr P Conv Anglicana Bernardo Giacomini Goncalves,Rua,"Jose Pedro de Carvalho Lima, 333",Jardim Parque Morumbi,5712080,Escola Privada,-23.621929,-46.72965
Escola Privada_10075268,Privada,Colegio Lua Ensino Fundamental,Rua,"Jose Piragibe, 36",Vila Indiana,5585040,Escola Privada,-22.175115,-51.251638
Escola Privada_10075269,Privada,Escola Crescente,Rua,"Clarindo, 5135",Vila Andrade,5718300,Escola Privada,-23.63503,-46.736187
Escola Privada_10075278,Privada,Colegio Essere,Rua,"Filomena Bocchi Pilli, 190",Jardim Monjolo,2961130,Escola Privada,-23.493654,-46.698988
Escola Privada_10075279,Privada,Cr P Conv Venha Conosco - Unidade VIIi,Rua,"Maria da Costa Bezerra, 510",Recanto Campo Belo,4880050,Escola Privada,-23.794448,-46.736808
Escola Privada_10075280,Privada,Cr P Conv Teresa de Calcuta ME,Rua,"Antonio Carlos Benjamim dos Santos, 3025",Jardim Myrna,4856070,Escola Privada,-23.764855,-46.696389
Escola Privada_10075281,Privada,Cei Indir Ame II,Rua,"Euclides, 341",Vila Fachini,4326080,Escola Privada,-23.779579,-45.358564
Escola Privada_10075282,Privada,Cei Indir Nova Luz,Rua,"Dino Bueno, 94",Campos Eliseos,1217000,Escola Privada,-24.153674,-46.730025
Escola Privada_10075283,Privada,Cr P Conv Madagascar,Rua,"Boaventura Rodrigues da Silva, 761",Parque Boturussu,3801120,Escola Privada,-23.500734,-46.489499
Escola Privada_10075284,Privada,Cr P Conv Jujubinha,Rua,"Wolstein, 258",Vila Granada,3623010,Escola Privada,-23.552139,-46.647198
Escola Privada_10075285,Privada,Cr P Conv Viva,Rua,"Paranagua, 1244",Ermelino Matarazzo,3806000,Escola Privada,-23.495181,-46.478132
Escola Privada_10075290,Privada,Maple da Vila,Rua,"Purpurina, 46",Sumarezinho,5435030,Escola Privada,-23.55246,-46.689233
Escola Privada_10075303,Privada,Escola Fraterno,Rua,"Marina Saddi Haidar, 176",Jardim Umuarama,4650050,Escola Privada,-23.652387,-46.533937
Escola Privada_10075306,Privada,Cr P Conv Carrossel,Rua,"Otilia, 749",Vila Esperanca,3649000,Escola Privada,-23.900332,-46.442471
Escola Privada_10075317,Privada,Colegio Visao Global Unidade II,Rua,"Candido da Rocha, 315",Jardim Camargo Novo,8121290,Escola Privada,-23.503026,-46.384873
Escola Privada_10075323,Privada,Centro Educacional Marista Irmao Lourenco,Rua,"Cha dos Jesuitas, 559",Vila Progresso Zona Leste,8245045,Escola Privada,-23.524599,-46.440495
Escola Privada_10075328,Privada,Colegio Jardim Nova Jornada Eireli,Rua,"Nova Cantareira, 4256",Tucuruvi,2340001,Escola Privada,-23.46361,-46.615937
Escola Privada_10075334,Privada,Espaco Pensar Escola de Ensino Fundamental Anos Iniciais,Rua,"Barbara Heliodora, 289",Vila Romana,5044040,Escola Privada,-23.779579,-45.358564
Escola Privada_10075338,Privada,Colegio Rede Decisao Unidade Vila Mascote,Rua,"Jorge Duprat Figueiredo, 304",Vila Paulista,4361000,Escola Privada,-23.642823,-46.660227
Escola Privada_10075358,Privada,Instituto de Ensino Yeshiva Tmimim,Rua,"Rua Prates, 758",Bom Retiro,1121000,Escola Privada,-23.527362,-46.635039
Escola Privada_10075362,Privada,Camino School,Rua,"Clelia, 674",Agua Branca,5042000,Escola Privada,-22.751938,-47.629119
Escola Privada_10075373,Privada,Escola Mais,Rua,"Praia do Cerejo, 195",Vila Paulista,4360050,Escola Privada,-22.419936,-47.551109
