id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Escola Pública_10075295,Pública,Cemei Pacheco Gato,Rua,"Pacheco Gato, 2",Jardim Nove de Julho,3951060,Escola Pública,-23.626589,-46.562052
Escola Pública_10075296,Pública,Emei Cidade Tiradentes IV,Rua,"Eduardo Reuter, 410",Conjunto Habitacional Barro Branco II,8473533,Escola Pública,-23.583311,-46.393017
Escola Pública_10075297,Pública,Emei Lajeado II,Rua,"Joao da Silva Aguiar, 150",Lajeado,8452250,Escola Pública,-23.535481,-46.399089
Escola Pública_10075380,Pública,Ceu Cemei Vila Alpina,Rua,"Joao Pedro Lecor, 141",Jardim Avelino,3227190,Escola Pública,-23.652387,-46.533937
Escola Pública_10075381,Pública,Ceu Cemei Parque do Carmo,Rua,"Gaspar da Silva, 240",Jardim Nossa Senhora do Carmo,8275250,Escola Pública,-19.527246,-42.627301
Escola Pública_10075504,Pública,Centro Atend Socioed Adolesc Feminino Bom Retiro Casa Feminino Bom Retiro Ci,Rua,"Estado, 2001",Bom Retiro,1107000,Escola Pública,-22.780345,-47.162651
Escola Pública_10075508,Pública,Centro de Atendimento Socioeducativo Ao Adolescente Juquia Casa Juquia Ci,Rua,"R Coronel Mursa, 270",Bras,3043050,Escola Pública,-23.548239,-46.615564
Escola Pública_10076884,Pública,Cemei Morumbi,Rua,"Jose Pedro de Carvalho Lima, 150",Jardim Parque Morumbi,5712080,Escola Pública,-23.623884,-46.732474
Escola Pública_10159509,Pública,Centro de Atend Socioeduc Ao Adolescente Rio Parana Ci,Rua,"R Coronel Mursa, 270",Bras,3043050,Escola Pública,-23.548239,-46.615564
Escola Pública_10159613,Pública,Ceu Cemei Jardim Tremembe - Acelino Scalquette Prof,Rua,"Adauto Bezerra Delgado, 84",Parque Casa de Pedra,2320110,Escola Pública,-23.450159,-46.596847
Escola Pública_10159631,Pública,Ceu Cemei Coreto de Taipas,Rua,"Joao Amado Coutinho, 240",Conjunto Residencial Elisio Teixeira Lei,2815000,Escola Pública,-23.447883,-46.714508
Escola Pública_10159636,Pública,Cemei Jardim Iporanga,Rua,"Indochina, 125",Jardim das Imbuias,4829220,Escola Pública,-23.09884,-46.487715
Escola Pública_10159637,Pública,Ceu Cemei Sao Miguel,Rua,"Jose Ferreira Crespo, 495",Jardim Sao Vicente,8021480,Escola Pública,-23.652387,-46.533937
Escola Pública_10159650,Pública,Ceu Cemei Monte Serrat,Rua,"Monte Serrat, 230",Tatuape,3312000,Escola Pública,-23.540363,-46.563496
Escola Pública_10159949,Pública,Emei Jardim Ideal,Rua,"Major Jose Lopes, 284",Jardim Shangrila Zona Sul,4852040,Escola Pública,-23.760428,-46.661539
Escola Pública_10159962,Pública,Emef Lia - Maria dos Reis de Jesus Souza Silva Profa,Rua,"Alziro Pinheiro Magalhaes, 899",Parque Sao Miguel,4855000,Escola Pública,-23.758847,-46.684332
Escola Pública_10160390,Pública,Emei Sao Bento,Rua,"De Sao Bento, 1",Centro,1029010,Escola Pública,-23.469317,-46.53086
