id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Farmacia_10.100.701,Drogarias Ultra Popular,Drogalella LTDA - Epp,Rua,"AL Barros, 19",Santa Cecilia,01232-000,Farmacia,-23.538563,-46.651975
Farmacia_10.100.702,Drogarias Ultra Popular,Drogalene LTDA,Rua,"Av Sao Luis, 51",Republica,01046-001,Farmacia,-23.545134,-46.642942
Farmacia_10.100.708,Drogarias Ultra Popular,Drogaria Empresarial LTDA - Matriz,Rua,"R Joao Fernandes Camisa Nova Junior, 476",Jd São Luiz,05844-000,Farmacia,-23.649756,-46.741234
Farmacia_10.100.710,Drogarias Ultra Popular,Drogaria Lambert Rosa LTDA - Epp,Rua,"R Paulo de Faria, 23",Tucuruvi,02267-000,Farmacia,-23.481568,-46.603209
Farmacia_10.100.711,Drogarias Ultra Popular,Drogaria Largo do Paissandu LTDA - ME,Rua,"Largo do Paissandu, 40",Centro,01034-010,Farmacia,-23.469317,-46.53086
Farmacia_10.100.739,Drogarias Ultra Popular,Drogaria Ultrapopular Limao LTDA - Epp,Rua,"Av Deputado Emílio Carlos, 178",Limão,02720-000,Farmacia,-23.502746,-46.67249
Farmacia_10.100.740,Drogarias Ultra Popular,Drogaria Ultrapopular Santa Cecilia LTDA,Rua,"R das Palmeiras, 67",Vila Buarque,01226-010,Farmacia,-23.477701,-46.538094
Farmacia_10.100.749,Drogarias Ultra Popular,Elimar Drogaria LTDA - Epp - Filial 01,Rua,"Av Yervant Kissajikian, 3765",Vila Missionária,04428-010,Farmacia,-23.685052,-46.647359
Farmacia_10.100.752,Drogarias Ultra Popular,Farmacia Drogafacil LTDA - Filial 01 - Cambuci,Rua,"Largo Cambuci, 78",Cambuci,01523-010,Farmacia,-23.562994,-46.621351
Farmacia_10.100.753,Drogarias Ultra Popular,Farmacia Drogafacil LTDA - Filial 02 - Bom Retiro,Rua,"R da Graça, 235",Bom Retiro,01125-001,Farmacia,-23.529208,-46.639128
Farmacia_10.100.754,Drogarias Ultra Popular,Farmacia Drogafacil LTDA - Filial 03 - Arouche,Rua,"R do Arouche, 175",Republica,01219-000,Farmacia,-23.542192,-46.645146
Farmacia_10.100.755,Drogarias Ultra Popular,Farmacia Drogafacil LTDA - Filial 04 - Perdizes,Rua,"R Turiassu, 390",Perdizes,05005-000,Farmacia,-23.533305,-46.666706
Farmacia_10.100.756,Drogarias Ultra Popular,Farmacia Drogafacil LTDA - Filial 06,Rua,"R Prates, 493",Bom Retiro,01121-000,Farmacia,-23.52964,-46.636137
Farmacia_10.100.757,Drogarias Ultra Popular,Farmacia Drogafacil LTDA - Matriz,Rua,"Pça Marechal Deodoro, 328",Santa Cecília,01150-010,Farmacia,-23.533606,-46.65548
Farmacia_10.100.769,Drogarias Ultra Popular,Hrm Drogaria Eireli,Rua,"R Teodoro Sampaio, 2442",Pinheiros,13201-000,Farmacia,-23.565823,-46.691551
Farmacia_10.100.793,Drogarias Ultra Popular,Up Farma Lageado LTDA - Matriz,Rua,"Estr do Lageado Velho, 839",Vila Iolanda (lajeado),08451-055,Farmacia,-23.534956,-46.401474
Farmacia_10.141.844,Drogarias Ultra Popular,Drogaluca de Sao Bernardo LTDA,Rua,"R Sinfonia Italiana, 322",Jdm Sao Bernardo,04844-610,Farmacia,-23.757074,-46.707375
Farmacia_11.095.172,Drogasil,Drogasil,Rua,Estr. Itaquera Guaianazes,Jardim Helena,08420-000,Farmacia,-23.532683,-46.433543
Farmacia_11.095.173,Nissei,Farmacias Nissei,Rua,R. Domingos de Morais,Vila Mariana,04010-100,Farmacia,-23.591979,-46.636388
Farmacia_11.095.174,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Engenheiro Luís Carlos Berrini,Cidade Monções,04571-000,Farmacia,-23.605179,-46.692949
Farmacia_11.095.175,Drogasil,Drogasil,Rua,R. Vig. Albernaz,Vila Gumercindo,04134-021,Farmacia,-23.605676,-46.623001
