id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Hipermercados e Supermercados_10.029.385,Extra Supermercado,Santana,Rua,"R Conselheiro Moreira De Barros, 2075",Mandaqui,2430000,Hipermercados e Supermercados,-23.486124,-46.640876
Hipermercados e Supermercados_10.029.386,Extra Supermercado,Rego Freitas,Rua,"R Rego Freitas, 172",República,1220000,Hipermercados e Supermercados,-23.543494,-46.647166
Hipermercados e Supermercados_10.029.388,Extra Supermercado,Jardim Angela,Rua,"Estr Do M. Boi Mirim, 4374",M`Boi Mirim,4948030,Hipermercados e Supermercados,-24.022971,-46.497144
Hipermercados e Supermercados_10.029.389,Extra Supermercado,Glicério,Rua,"R Glicerio, 90",Praça João Mendes,1514000,Hipermercados e Supermercados,-23.184352,-45.884685
Hipermercados e Supermercados_10.029.390,Extra Supermercado,Vila Nova Cachoeirinha,Rua,"Av Inajar De Souza, 5550",Jardim Peri,2861190,Hipermercados e Supermercados,-23.467836,-46.669437
Hipermercados e Supermercados_10.029.417,Extra Supermercado,Vila São José,Rua,"Av Carlos Oberhuber, 136",Jardim Presidente,4836130,Hipermercados e Supermercados,-23.740415,-46.706826
Hipermercados e Supermercados_10.029.454,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Rua Pedro Pomponazzi,Jardim Vila Mariana,04115-000,Hipermercados e Supermercados,-23.590283,-46.62522
Hipermercados e Supermercados_10.029.490,Peri Supermercado,Peri Supermercado,Rua,"Av Peri Ronchetti, 870",Jardim Peri São Paulo,02633-000,Hipermercados e Supermercados,-23.463517,-46.653823
Hipermercados e Supermercados_10.029.491,Ricoy,Ricoy,Rua,"R Olimpio Soares Carvalho, 55",Pq. Grajaú São Paulo,04842-370,Hipermercados e Supermercados,-23.749533,-46.68709
Hipermercados e Supermercados_10.029.492,Peri Supermercado,Peri Supermercado,Rua,"Av Elízio Cordeiro de Siqueira, 912",Jardim Santo Elias São Paulo,05136-001,Hipermercados e Supermercados,-23.497867,-46.746786
Hipermercados e Supermercados_10.029.493,Roldão,Roldão Atacadista,Rua,Av. Gen. Ataliba Leonel,Carandiru,02033-010,Hipermercados e Supermercados,-23.495485,-46.610929
Hipermercados e Supermercados_10.029.494,Sam´s Club,Sam`s Club,Rua,Av. Prof. Francisco Morato,Butantã,05513-300,Hipermercados e Supermercados,-23.588592,-46.728142
Hipermercados e Supermercados_10.033.569,Carrefour Express,Carrefour Express Tamandaré,Rua,Rua Tamandaré,Liberdade,01509-020,Hipermercados e Supermercados,-23.563845,-46.634831
Hipermercados e Supermercados_10.033.571,Carrefour Express,Carrefour Express Vista Verde,Rua,Av. Queiroz Filho,Vila Hamburguesa,05319-000,Hipermercados e Supermercados,-21.799078,-50.24131
Hipermercados e Supermercados_10.033.572,Carrefour Express,Carrefour Express Rua Diana,Rua,R. Diana,Pompeia,05058-020,Hipermercados e Supermercados,-23.331338,-46.753572
Hipermercados e Supermercados_10.033.573,Carrefour Express,Carrefour Express Francisco Matarazzo,Rua,Av. Francisco Matarazzo,Perdizes,05001-000,Hipermercados e Supermercados,-23.527232,-46.672336
Hipermercados e Supermercados_10.033.577,Smart Supermercados,Mini Mercado Marlui,Rua,"Av Deputado Cantidio Sampaio, 3",Vila Souza,2860-001,Hipermercados e Supermercados,-23.456126,-46.691958
Hipermercados e Supermercados_10.038.237,Giga Atacado,Giga Atacado - Barra Funda,Rua,Av. Pres. Castelo Branco,Pte. Pequena,01142-300,Hipermercados e Supermercados,-23.552139,-46.647198
Hipermercados e Supermercados_10.038.243,Giga Atacado,Giga Atacado - Limão,Rua,Av. Otaviano Alves de Lima,Freguesia do Ó,02701-000,Hipermercados e Supermercados,-23.507539,-46.69228
Hipermercados e Supermercados_10.038.266,Giga Atacado,Giga Atacado - Cachoeirinha,Rua,Rua Koshun Takara,Vila Dionisia,02671-110,Hipermercados e Supermercados,-23.462337,-46.66153
Hipermercados e Supermercados_10.063.014,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Rua Alexandre Dumas,Santo Amaro,04717-003,Hipermercados e Supermercados,-23.633586,-46.701681
Hipermercados e Supermercados_10.063.703,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Av. Padre Antônio José dos Santos,Cidade Monções,04563-001,Hipermercados e Supermercados,-23.610547,-46.686291
Hipermercados e Supermercados_10.070.913,Atacadão,Interlagos,Rua,"Av Interlagos, 4237",Vila Sabará,04661-300,Hipermercados e Supermercados,-23.779579,-45.358564
Hipermercados e Supermercados_10.070.914,Atacadão,Aricanduva,Rua,"Av Aricanduva, 3640",Vila Carrão,03490-000,Hipermercados e Supermercados,-23.553404,-46.518873
Hipermercados e Supermercados_10.070.929,Carrefour Express,Carrefour Express Coworking,Rua,R. Jaceru,Vila Gertrudes,04705-000,Hipermercados e Supermercados,-23.779579,-45.358564
Hipermercados e Supermercados_10.070.931,Carrefour Express,Carrefour Express Ibirapuera,Rua,Av. Ibirapuera,Indianópolis,04028-001,Hipermercados e Supermercados,-23.592029,-46.651902
Hipermercados e Supermercados_10.070.932,Carrefour Express,Carrefour Express Humberto,Rua,R. Humberto I,Vila Mariana,04018-033,Hipermercados e Supermercados,-23.584878,-46.642154
Hipermercados e Supermercados_10.071.500,Carrefour Market,Market Itaim Bibi,Rua,"R Doutor Renato Paes de Barros, 334",Chácara Itaim,04530-000,Hipermercados e Supermercados,-23.58154,-46.674595
Hipermercados e Supermercados_10.071.501,Carrefour Market,Carrefour Market Vila Suzano,Rua,"R Domingos da Rocha, S/N",Vila Suzana,05641-040,Hipermercados e Supermercados,-23.617288,-46.733992
Hipermercados e Supermercados_10.071.502,Carrefour Market,Carrefour Market Paraíso,Rua,"R Dr. Rafael de Barros, 55",Paraíso,04003-040,Hipermercados e Supermercados,-23.57226,-46.644839
Hipermercados e Supermercados_10.090.029,Carrefour Express,Carrefour Express Juscelino Kubistcheck,Rua,Av. Pres. Juscelino Kubitschek,Vila Nova Conceição,04543-011,Hipermercados e Supermercados,-23.695965,-46.617871
Hipermercados e Supermercados_10.090.031,Carrefour Express,Carrefour Express Teodoro Oscar Freire,Rua,R. Teodoro Sampaio,Pinheiros,05406-000,Hipermercados e Supermercados,-23.561305,-46.683749
Hipermercados e Supermercados_10.094.937,Spani Atacadista,Spani Atacadista,Rua,R. Rego Barros,Jardim Vila Formosa,03460-000,Hipermercados e Supermercados,-23.567221,-46.513963
Hipermercados e Supermercados_10.097.846,Atacadão,Inajar de Souza,Rua,"Av Inajar De Souza, 5180",Brasilândia,02861-190,Hipermercados e Supermercados,-23.467504,-46.67078
Hipermercados e Supermercados_10.098.953,Lopes Supermercados,Lopes Supermercados,Rua,R. São Jorge,Parque São Jorge,03087-000,Hipermercados e Supermercados,12.053173,-61.75152
Hipermercados e Supermercados_10.102.398,Assaí Atacadista,Assaí Atacadista,Rua,R. Nossa Sra. das Mercês,Vila das Merces,04165-000,Hipermercados e Supermercados,-23.624154,-46.607257
Hipermercados e Supermercados_10.102.401,Carrefour Express,Carrefour Express Monteiro de Melo,Rua,R. Monteiro de Melo,Lapa,05050-000,Hipermercados e Supermercados,-23.524683,-46.703033
Hipermercados e Supermercados_10.102.402,Carrefour Express,Carrefour Express Albuquerque Lins,Rua,R. Dr. Albuquerque Lins,Santa Cecilia,01230-001,Hipermercados e Supermercados,-23.535559,-46.656543
Hipermercados e Supermercados_10.102.404,Carrefour Express,Carrefour Express Faria Lima,Rua,Av. Brig. Faria Lima,Jardim Paulistano,01452-001,Hipermercados e Supermercados,-23.652387,-46.533937
Hipermercados e Supermercados_10.102.405,Carrefour Express,Carrefour Express São Bento,Rua,R. José Bonifácio,Sé,01003-000,Hipermercados e Supermercados,-23.548942,-46.636412
Hipermercados e Supermercados_10.102.406,Carrefour Express,Carrefour Express Padre Antônio,Rua,Av. Padre Antônio José dos Santos,Av. Padre Antônio José dos Santos,04563-010,Hipermercados e Supermercados,-23.934554,-46.329242
Hipermercados e Supermercados_10.102.410,Carrefour Express,Carrefour Express São Camilo,Rua,Av. Pompéia,Perdizes,05022-001,Hipermercados e Supermercados,-23.53474,-46.68815
