id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Hortifruti_10.071.506,Natural da Terra,Natural da Terra - Tatuapé,Rua,Rua Apucarana, Tatuapé,03311-001,Hortifruti,-23.546458,-46.563423
Hortifruti_10.092.987,Oba Hortifruti,Shopping Market Place,Shopping Center,Rua Chucri Curi, Vila Cordeiro,35701-248,Hortifruti,-23.779579,-45.358564
Hortifruti_10.092.988,Oba Hortifruti,Vila Mascote,Rua,Rua Água Santa, Vila Mascote,37044-270,Hortifruti,-23.552139,-46.647198
Hortifruti_10.140.810,Natural da Terra,Natural da Terra - Moema,Rua,Alameda dos Arapanés, Moema,04524-001,Hortifruti,-23.605926,-46.666333
Hortifruti_10.140.811,Natural da Terra,Natural da Terra - Nhambiquaras,Rua,Alameda dos Nhambiquaras, Indianópolis,04085-000,Hortifruti,-23.608366,-46.660608
Hortifruti_10.190.977,Natural da Terra,Natural da Terra Vila Mascote,Rua,Rua Jorge Rubens Neiva de Camargo, Vila Mascote,04362-060,Hortifruti,-23.665513,-46.647872
Hortifruti_10.190.978,Natural da Terra,Natural da Terra Vila Mariana,Rua,Rua Rio Grande, Vila Mariana,04018-001,Hortifruti,-23.588296,-46.64246
Hortifruti_10.509.990,Natural da Terra,Natural da Terra - Vila Olímpia,Rua,Avenida Hélio Pellegrino, Vila Nova Conceição,04513-100,Hortifruti,-23.895597,-46.425581
Hortifruti_10.509.991,Natural da Terra,Cd Natural da Terra,Rua,Avenida Imperatriz Leopoldina, Vila Leopoldina,05305-000,Hortifruti,-23.530652,-46.73118
Hortifruti_10.572.964,Hortifruti,Hortifruti Penha Brasil,Rua,Avenida General Penha Brasil, Vila Nova Cachoeirinha,02673-000,Hortifruti,-23.458907,-46.674891
Hortifruti_10.572.976,Hortifruti,Hortifruti,Rua,Rua Carvalho do Brasil, Jardim das Camélias,08050-290,Hortifruti,-23.652387,-46.533937
Hortifruti_1.654.077,Oba Hortifruti,Santana Tolle,Rua,Praça Coronel-Polícia Militar Paulo de Tarso Augusto, Santana,02405-001,Hortifruti,-22.664013,-47.697473
Hortifruti_1.655.052,Oba Hortifruti,Tatuapé,Rua,Rua Francisco Justino de Azevedo, Tatuapé,03322-001,Hortifruti,-23.562773,-46.623873
Hortifruti_1.655.055,Oba Hortifruti,Vila Prudente,Rua,Praça Maria do Carmo Del Ré, Vila Prudente,03133-200,Hortifruti,-23.590511,-46.572229
Hortifruti_1.655.062,Oba Hortifruti,Morumbi,Rua,"Avenida Paulista, 2100", Vila Andrade,05726-130,Hortifruti,-23.624447,-46.727322
