id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Hospital_10.034.921,,Hosp Mun Josanias Castanha Braga,Rua,"R Euzebio Coghi, 841",Jardim Roschel,04883-290,Hospital,-23.824773,-46.726643
Hospital_10.034.930,,Hospital Municipal Guarapiranga,Rua,"Estr Da Riviera, 4742",Riviera Paulista,04916-000,Hospital,-22.738192,-47.659055
Hospital_10.034.931,,Upa Pedreira Dr Cesar Antunes Da Rocha,Rua,"Av Nossa Senhora Do Sabara, 4901",Vila Emir,04447-021,Hospital,-23.69041,-46.678172
Hospital_10.034.942,,Clinica Infantil Santa Isabella,Rua,"R Verbo Divino, 246",Granja Julieta,04719-000,Hospital,-23.637001,-46.699033
Hospital_10.034.947,,Hospital Sancta Maggiore,Rua,"R Francisco Tramontano, 100",Real Parque,05686-902,Hospital,-23.616626,-46.701954
Hospital_10.034.949,,Impar Servicos Hospitalares Filial Santa Paula,Rua,"Av Santo Amaro, 2468",Brooklin Paulista,04556-901,Hospital,-23.605637,-46.675944
Hospital_10.034.952,,Pronto Socorro Especializado Bucal Vita,Rua,"R Domingos De Moraes, 1745",Vila Mariana,04009-003,Hospital,-23.591685,-46.635676
Hospital_10.034.953,,Hospital Municipal Brigadeiro,Rua,"Av Brigadeiro Luis Antonio, 4805",Jardim Paulista,01401-002,Hospital,-23.582861,-46.667382
Hospital_10.034.955,,Hospital Estadual De Campanha Covid 19 Ibirapuera,Rua,"R Abilio Soares, 1300",Paraiso,04005-004,Hospital,-23.580203,-46.656036
Hospital_10.034.956,,Bla Servicos Hospitalares,Rua,"Brig Luis Antonio, 3767",Jardim Paulista,01401-001,Hospital,-23.577523,-46.659079
Hospital_10.034.958,,Jml Servicos Hospitalares,Rua,"R Jose Maria Lisboa, 659",Jardim Paulista,01423-001,Hospital,-23.568102,-46.658378
Hospital_10.034.959,,Hospital Municipal Bela Vista Santa Dulce Dos Pobres,Rua,"R Antonio Carlos, 122",Consolacao,01309-010,Hospital,-23.557393,-46.656243
