id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Restaurante_10.057.854,Madero,Madero Steak House Brascan,Rua,"R Joaquim Floriano, 466",Itaim Bibi,04534-002,Restaurante,-23.584085,-46.675304
Restaurante_10.108.028,Madero,Madero Steak House SP Market,Shopping Center,"Av Das Nações, 22540",Vila Almeida,04696-005,Restaurante,-23.552139,-46.647198
Restaurante_10.203.344,Madero,Pátio Paulista,Shopping Center,R Treze de Maio 1947,Bela Vista,01327-900,Restaurante,-23.570874,-46.643698
Restaurante_10.253.147,Madero,Madero Steak House  Shopping Jardim Sul,Shopping Center,R Itacaiúna 61,Vila Andrade,05716-070,Restaurante,-23.63033,-46.735609
Restaurante_10.396.572,Madero,Madero Steak House Açoce,Rua,"Av Açocê, 249",Indianápolis,04075-021,Restaurante,-23.602266,-46.657669
Restaurante_10.396.573,Madero,Madero Steak House Shopping Parque da Cidade,Shopping Center,Av Nações Unidas 14401,Chácara Santo Antônio,04794-000,Restaurante,-23.618596,-46.573278
Restaurante_10.983.156,Jeronimo Smash Burger,Jeronimo Burger Aricanduva,Rua,Av. Aricanduva,Jardim Aricanduva,03527-000,Restaurante,-23.561292,-46.511863
Restaurante_10.983.244,Divino Fogão,Divino Fogao Mooca Plaza Shopping,Rua,Rua Capitão Pacheco e Chaves 313 Loja 1.080 / 1.081,Parque Da Mooca,03126-000,Restaurante,-23.579201,-46.594749
Restaurante_10.983.306,Brasileirinho,Brasileirinho Delivery,Rua,R. Dr. Maurício de Lacerda,São Judas,04303-192,Restaurante,-22.71503,-47.632519
Restaurante_10.983.400,Ráscal,Rascal Jk Iguatemi,Rua,Avenida Presidente Juscelino Kubitschek 2041 Loja 418,Chácara Itaim,04543-011,Restaurante,-23.59131,-46.685795
Restaurante_10.983.497,Brasileirinho,Brasileirinho Delivery,Rua,Av. Dr. Eduardo Cotching,Vila Formosa,03356-001,Restaurante,-23.563631,-46.54914
Restaurante_10.983.664,Outback,Outback Steakhouse,Rua,Av. Interlagos,Interlagos,04661-200,Restaurante,-23.699783,-46.700832
Restaurante_10.983.781,Outback,Outback Steakhouse,Rua,R. Cap. Pacheco e Chaves,Mooca,03126-000,Restaurante,-23.581888,-46.59098
Restaurante_10.983.818,Pobre Juan,Pobre Juan Higienopolis,Rua,R. Itaguaba,Higienópolis,01233-000,Restaurante,-23.541137,-46.663587
Restaurante_10.983.831,Jeronimo Smash Burger,Jeronimo Burger Shopping Light,Rua,Centro Histórico,Centro Histórico,01048-000,Restaurante,-23.469317,-46.53086
Restaurante_10.984.163,Jeronimo Smash Burger,Jeronimo Burger Monte Serrat,Rua,Rua Monte Serrat,Tatuapé,03312-001,Restaurante,-23.544917,-46.561109
Restaurante_10.984.166,Abbraccio,Abbraccio Cucina Italiana,Rua,R. Olimpíadas,Berrini - Vila Funchal,04551-000,Restaurante,-23.779579,-45.358564
Restaurante_10.984.202,Almanara,Almanara,Rua,R. Treze de Maio,Bela Vista,01327-900,Restaurante,-23.558856,-46.646398
Restaurante_10.984.345,Domino´s Pizza,Dominos Pizza Campo Belo,Rua,R. Dr. Jesuíno Maciel,Campo Belo,04615-003,Restaurante,-23.620311,-46.670593
Restaurante_10.984.439,América,Restaurante America Jardim Sul,Rua,Av. Giovanni Gronchi,Vila Andrade,05724-001,Restaurante,-23.617229,-46.731713
