id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Academia de Ginastica_10.093.874,A! Body Tech,Brooklin Guararapes,Rua,"R Guararapes, 20",Alto Da Lapa,04561000,Academia de Ginastica,-23.522665,-46.704165,POINT (-46.704165 -23.522665)
Academia de Ginastica_10.156.197,Companhia Athletica,,Shopping Center,"Av Roque Petroni Júnior, 1089",Chácara Santo Antônio,47079004707970,Academia de Ginastica,-23.623109,-46.698569,POINT (-46.698569 -23.623109)
Academia de Ginastica_11.093.385,Engenharia do Corpo,Academia Engenharia do Corpo,Rua,Av. Reg. Feijó,Vila Reg. Feijó,03342001,Academia de Ginastica,-23.558981,-46.56893,POINT (-46.56893 -23.558981)
Academia de Ginastica_11.093.386,Smart Fit,Academia Smart Fit Avenida Conselheiro Carrao,Rua,Av. Conselheiro Carrão,Vila Gomes Cardim,03403000,Academia de Ginastica,-23.549771,-46.545412,POINT (-46.545412 -23.549771)
Academia de Ginastica_11.093.387,Bluefit,Bluefit,Rua,Alfredo Pujol,Santana,02017011,Academia de Ginastica,-23.500255,-46.634622,POINT (-46.634622 -23.500255)
Academia de Ginastica_11.093.388,Smart Fit,Academia Smart Fit Tiete Plaza Shopping,Rua,Av. Raimundo Pereira de Magalhães,Vila Pirituba,02675031,Academia de Ginastica,-23.460084,-46.720966,POINT (-46.720966 -23.460084)
Academia de Ginastica_11.093.390,Smart Fit,Academia Smart Fit Imirim,Rua,Av. Eng. Caetano Álvares,Imirim,02413100,Academia de Ginastica,-23.50488,-46.667358,POINT (-46.667358 -23.50488)
Academia de Ginastica_11.093.391,Smart Fit,Academia Smart Fit Vila Formosa,Rua,Av. Ver. Abel Ferreira,Vila Formosa,03372015,Academia de Ginastica,-23.565181,-46.558989,POINT (-46.558989 -23.565181)
Academia de Ginastica_11.093.392,Smart Fit,Academia Smart Fit Casa Verde Baixa,Rua,Rua Bernardino Fanganiello,Casa Verde,02512000,Academia de Ginastica,-23.513044,-46.659692,POINT (-46.659692 -23.513044)
Academia de Ginastica_11.093.393,Bluefit,Bluefit,Rua,R. Mateus Mascarenhas,Jardim Pereira Leite,02712000,Academia de Ginastica,-23.50492,-46.67576,POINT (-46.67576 -23.50492)
Academia de Ginastica_11.093.394,Bluefit,Academia Bluefit Vila Guilherme,Rua,Av. Joaquina Ramalho,Vila Guilherme,02065040,Academia de Ginastica,-23.517187,-46.610453,POINT (-46.610453 -23.517187)
Academia de Ginastica_11.093.395,Smart Fit,Academia Smart Fit Washington Luis,Rua,Av. Washington Luís,Santo Amaro,04662002,Academia de Ginastica,-23.640015,-46.673749,POINT (-46.673749 -23.640015)
Academia de Ginastica_11.093.397,Panobianco,Panobianco Vila Ema,Rua,Av. Vila Ema,Vila Graciosa,03282001,Academia de Ginastica,-23.552139,-46.647198,POINT (-46.647198 -23.552139)
Academia de Ginastica_11.093.399,Smart Fit,Academia Smart Fit Atlantica,Rua,Av. Inácio Cunha Leme,Jardim Ipanema,04784145,Academia de Ginastica,-23.690646,-46.710144,POINT (-46.710144 -23.690646)
Academia de Ginastica_11.093.400,Bio Ritmo,Academia Bio Ritmo Morumbi,Rua,Av. Giovanni Gronchi,Vila Andrade,05724003,Academia de Ginastica,-23.617229,-46.731713,POINT (-46.731713 -23.617229)
Academia de Ginastica_11.093.401,Smart Fit,Academia Smart Fit Jamaris,Rua,Av. Jamaris,Planalto Paulista,04078001,Academia de Ginastica,-23.607678,-46.658158,POINT (-46.658158 -23.607678)
Academia de Ginastica_11.093.403,Smart Fit,Academia Smart Fit Avenida Celso Garcia,Rua,Av. Celso Garcia,Tatuapé,03064000,Academia de Ginastica,-23.535244,-46.582602,POINT (-46.582602 -23.535244)
Academia de Ginastica_11.093.404,Bluefit,Bluefit,Rua,R. Nossa Sra. das Mercês,Vila das Merces,04165011,Academia de Ginastica,-23.624154,-46.607257,POINT (-46.607257 -23.624154)
Academia de Ginastica_11.093.405,Smart Fit,Academia Smart Fit Itaim Paulista,Rua,Rua Tibúrcio de Sousa,Itaim Paulista,08140000,Academia de Ginastica,-23.50496,-46.396507,POINT (-46.396507 -23.50496)
Academia de Ginastica_11.093.406,Bluefit,Bluefit,Rua,Av. Pres. Tancredo Neves,Sacomã,04287010,Academia de Ginastica,-23.614427,-46.608581,POINT (-46.608581 -23.614427)
Academia de Ginastica_11.093.407,Smart Fit,Academia Smart Fit Teodoro Sampaio,Rua,R. Teodoro Sampaio,Pinheiros,05405200,Academia de Ginastica,-23.561305,-46.683749,POINT (-46.683749 -23.561305)
Academia de Ginastica_11.093.408,Smart Fit,Academia Smart Fit Ponte Rasa,Rua,Av. São Miguel,Vila Marieta,03619100,Academia de Ginastica,-23.493914,-46.439603,POINT (-46.439603 -23.493914)
Academia de Ginastica_11.093.410,Smart Fit,Academia Smart Fit Avenida Santa Catarina,Rua,Av. Santa Catarina,Vila Mascote,04378300,Academia de Ginastica,-23.552139,-46.647198,POINT (-46.647198 -23.552139)
Academia de Ginastica_11.093.411,Smart Fit,Academia Smart Fit Vila Guilherme,Rua,Av. Joaquina Ramalho,Vila Guilherme,02065000,Academia de Ginastica,-23.517187,-46.610453,POINT (-46.610453 -23.517187)
Academia de Ginastica_11.093.412,Panobianco,Academia Panobianco Sao Rafael,Rua,Av. Sen. Teotônio Vilela,Jardim Sao Rafael,04833000,Academia de Ginastica,-23.627917,-46.454945,POINT (-46.454945 -23.627917)
Academia de Ginastica_11.093.413,Smart Fit,Academia Smart Fit Roldao Brasilandia,Rua,R. Domingos Vega,Vila Joao Batista,02837000,Academia de Ginastica,-23.552139,-46.647198,POINT (-46.647198 -23.552139)
Academia de Ginastica_11.093.414,Bluefit,Bluefit,Rua,Av. Hélio Pellegrino,Vila Nova Conceição,04513100,Academia de Ginastica,-23.596543,-46.664139,POINT (-46.664139 -23.596543)
Academia de Ginastica_11.093.416,Panobianco,Academia Panobianco Vila Antonieta,Rua,Av. Inconfidência Mineira,Vila Antonieta,03476010,Academia de Ginastica,-23.576075,-46.515466,POINT (-46.515466 -23.576075)
Academia de Ginastica_11.093.417,Smart Fit,Academia Smart Fit Paulista,Rua,Av. Paulista,Bela Vista,01310100,Academia de Ginastica,-23.56329,-46.654118,POINT (-46.654118 -23.56329)
Academia de Ginastica_11.093.418,Smart Fit,Academia Smart Fit Vila Prudente,Rua,Av. Professor Luiz Ignácio Anhaia Mello,Parque da Vila Prudente,03155000,Academia de Ginastica,-23.590227,-46.54381,POINT (-46.54381 -23.590227)
Academia de Ginastica_11.093.419,Bluefit,Bluefit,Rua,Av. Jabaquara,Mirandópolis,04045003,Academia de Ginastica,-23.616907,-46.638943,POINT (-46.638943 -23.616907)
Academia de Ginastica_11.093.420,Panobianco,Panobianco Itaim Paulista Academia,Rua,Rua Cordão de São Francisco,Vila Aimore,08190000,Academia de Ginastica,-23.493627,-46.401715,POINT (-46.401715 -23.493627)
Academia de Ginastica_11.093.421,Engenharia do Corpo,Academia Engenharia do Corpo,Rua,Av. Dr. Ricardo Jafet,Vila Santa Eulália,04260020,Academia de Ginastica,-23.578922,-46.611677,POINT (-46.611677 -23.578922)
Academia de Ginastica_11.093.422,Bio Ritmo,Academia Bio Ritmo Shopping Patio Higienopolis,Rua,Av. Higienópolis,Higienópolis,01238000,Academia de Ginastica,-23.54331,-46.657219,POINT (-46.657219 -23.54331)
Academia de Ginastica_11.093.423,Fórmula Academia,Formula Academia Frei Caneca,Rua,R. Frei Caneca,Bela Vista,01307001,Academia de Ginastica,-23.553913,-46.653522,POINT (-46.653522 -23.553913)
Academia de Ginastica_11.093.426,Bluefit,Academia Bluefit Liviero,Rua,Av. Carlos Liviero,Vila Liviero,04186100,Academia de Ginastica,-23.64518,-46.593225,POINT (-46.593225 -23.64518)
Academia de Ginastica_11.093.427,Panobianco,Panobianco Academia Unidade Jaragua,Rua,Av. Jornalista Paulo Zingg,Jardim Jaragua,05157030,Academia de Ginastica,-23.486182,-46.762412,POINT (-46.762412 -23.486182)
Academia de Ginastica_11.093.429,Smart Fit,Academia Smart Fit Corifeu,Rua,Av. Corifeu de Azevedo Marques,Butantã,05581001,Academia de Ginastica,-23.5713,-46.709699,POINT (-46.709699 -23.5713)
Academia de Ginastica_11.093.430,Smart Fit,Academia Smart Fit Alfonso Bovero,Rua,Av. Prof. Alfonso Bovero,Pompeia,05019010,Academia de Ginastica,-23.539316,-46.683429,POINT (-46.683429 -23.539316)
Academia de Ginastica_11.093.431,Bluefit,Bluefit,Rua,Rua Paraguaçu,Perdizes,05066010,Academia de Ginastica,-23.535276,-46.66508,POINT (-46.66508 -23.535276)
Academia de Ginastica_11.093.432,Bluefit,Bluefit,Rua,Av. Dr. Guilherme Dumont Vilares,Vila Praia,05640003,Academia de Ginastica,-23.615779,-46.740791,POINT (-46.740791 -23.615779)
Academia de Ginastica_11.093.433,Smart Fit,Academia Smart Fit Joaquim Floriano,Rua,R. Joaquim Floriano,Itaim Bibi,04534013,Academia de Ginastica,-23.584915,-46.675841,POINT (-46.675841 -23.584915)
Academia de Ginastica_11.093.434,Panobianco,Panobianco Jaguare,Rua,Av. Corifeu de Azevedo Marques,Butantã,05339004,Academia de Ginastica,-23.5713,-46.709699,POINT (-46.709699 -23.5713)
Academia de Ginastica_11.093.435,Smart Fit,Academia Smart Fit Vila Mariana,Rua,R. Domingos de Morais,Vila Mariana,04010100,Academia de Ginastica,-23.591979,-46.636388,POINT (-46.636388 -23.591979)
Academia de Ginastica_11.093.436,Smart Fit,Academia Smart Fit Vila das Merces,Rua,R. Nossa Sra. das Mercês,Vila das Merces,04165001,Academia de Ginastica,-23.624154,-46.607257,POINT (-46.607257 -23.624154)
Academia de Ginastica_11.093.437,Panobianco,Panobianco Novo Horizonte,Rua,Av. Paulo Guilguer Reimberg,Jardim Novo Horizonte,04858570,Academia de Ginastica,-23.795604,-46.681753,POINT (-46.681753 -23.795604)
Academia de Ginastica_11.093.438,Smart Fit,Academia Smart Fit Aclimacao,Rua,Av. da Aclimação,Cambuci,01531000,Academia de Ginastica,-23.570242,-46.632764,POINT (-46.632764 -23.570242)
Academia de Ginastica_11.093.439,Bio Ritmo,Academia Bio Ritmo Shopping Continental,Rua,Av. Leão Machado,Jaguaré,05328020,Academia de Ginastica,-23.548148,-46.756859,POINT (-46.756859 -23.548148)
Academia de Ginastica_11.094.633,Smart Fit,Academia Smart Fit Av Morumbi,Rua,Av. Morumbi,Morumbi,05724002,Academia de Ginastica,-23.599118,-46.708414,POINT (-46.708414 -23.599118)
Academia de Ginastica_11.094.634,Smart Fit,Academia Smart Fit Avenida Amador Bueno,Rua,Av. Amador Bueno da Veiga,Penha de França,03636000,Academia de Ginastica,-23.521469,-46.528449,POINT (-46.528449 -23.521469)
Academia de Ginastica_11.094.635,Smart Fit,Academia Smart Fit Casa Verde Alta,Rua,R. Zilda,Casa Verde Alta,02545001,Academia de Ginastica,-23.506079,-46.656433,POINT (-46.656433 -23.506079)
Academia de Ginastica_11.094.636,Panobianco,Panobianco Academia,Rua,Estr. de Itapecerica,Vila das Belezas,05849440,Academia de Ginastica,-23.552139,-46.647198,POINT (-46.647198 -23.552139)
Academia de Ginastica_11.094.638,Smart Fit,Academia Smart Fit Metro Sapopemba,Rua,Av. Sapopemba,Jardim Planalto,03988000,Academia de Ginastica,-23.606894,-46.507563,POINT (-46.507563 -23.606894)
Academia de Ginastica_11.094.639,Selfit,Selfit,Rua,Av. Otto Baumgart,Vila Guilherme,02049000,Academia de Ginastica,-23.514952,-46.619975,POINT (-46.619975 -23.514952)
Academia de Ginastica_11.094.640,Smart Fit,Academia Smart Fit Borba Gato,Rua,R. Bela Vista,Santo Amaro,04709000,Academia de Ginastica,-23.632732,-46.693011,POINT (-46.693011 -23.632732)
Academia de Ginastica_11.094.641,Smart Fit,Academia Smart Fit Sabara,Rua,Av. Nossa Sra. do Sabará,Vila Santana,04686001,Academia de Ginastica,-23.678846,-46.684892,POINT (-46.684892 -23.678846)
Academia de Ginastica_11.094.642,Smart Fit,Academia Smart Fit Parque Boa Esperanca,Rua,Av. Ragueb Chohfi,Parque Boa Esperança,08341410,Academia de Ginastica,-23.604921,-46.471175,POINT (-46.471175 -23.604921)
Academia de Ginastica_11.094.644,Panobianco,Panobianco Academia Marechal Tito,Rua,Avenida Marechal Tito,Jardim Miragaia,08115000,Academia de Ginastica,-23.494983,-46.410055,POINT (-46.410055 -23.494983)
Academia de Ginastica_11.094.645,Smart Fit,Academia Smart Fit Vila Carmosina,Rua,R. Tomé Álvares de Castro,Vila Carmosina,08290270,Academia de Ginastica,-23.557149,-46.446189,POINT (-46.446189 -23.557149)
Academia de Ginastica_11.094.647,Smart Fit,Academia Smart Fit Imperatriz Leopoldina,Rua,Av. Imperatriz Leopoldina,Vila Leopoldina,05305002,Academia de Ginastica,-23.530652,-46.73118,POINT (-46.73118 -23.530652)
Academia de Ginastica_11.094.648,Smart Fit,Academia Smart Fit Bonfiglioli,Rua,Av. Eng. Heitor Antônio Eiras Garcia,Jardim Bonfiglioli,05588000,Academia de Ginastica,-23.589626,-46.768921,POINT (-46.768921 -23.589626)
Academia de Ginastica_11.094.649,Bio Ritmo,Academia Bio Ritmo Santana,Rua,R. Conselheiro Moreira de Barros,Santana,02430001,Academia de Ginastica,-23.486639,-46.63908,POINT (-46.63908 -23.486639)
Academia de Ginastica_11.094.650,Smart Fit,Academia Smart Fit Higienopolis,Rua,R. Dr. Albuquerque Lins,Santa Cecilia,04846000,Academia de Ginastica,-23.535559,-46.656543,POINT (-46.656543 -23.535559)
Academia de Ginastica_11.094.651,Bluefit,Bluefit,Rua,Av. Dr. Cardoso de Melo,Vila Olímpia,04548004,Academia de Ginastica,-23.599118,-46.683331,POINT (-46.683331 -23.599118)
Academia de Ginastica_11.094.652,Smart Fit,Academia Smart Fit Open Mall Panamby,Rua,R. José Ramon Urtiza,Vila Andrade,05717270,Academia de Ginastica,-23.633879,-46.732396,POINT (-46.732396 -23.633879)
Academia de Ginastica_11.094.653,Bluefit,Bluefit Tremembe,Rua,R. Maria Amália Lopes Azevedo,Vila Albertina,02350012,Academia de Ginastica,-23.458008,-46.604274,POINT (-46.604274 -23.458008)
Academia de Ginastica_11.094.654,Smart Fit,Academia Smart Fit Butanta Shopping,Rua,Av. Prof. Francisco Morato,Butantã,05512300,Academia de Ginastica,-23.588592,-46.728142,POINT (-46.728142 -23.588592)
