id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Academia de Ginastica_10.093.874,A! Body Tech,Brooklin Guararapes,Rua,"R Guararapes, 20",Alto Da Lapa,04561000,Academia de Ginastica,-23.522665,-46.704165
Academia de Ginastica_10.156.197,Companhia Athletica,,Shopping Center,"Av Roque Petroni Júnior, 1089",Chácara Santo Antônio,47079004707970,Academia de Ginastica,-23.623109,-46.698569
Academia de Ginastica_11.093.385,Engenharia do Corpo,Academia Engenharia do Corpo,Rua,Av. Reg. Feijó,Vila Reg. Feijó,03342001,Academia de Ginastica,-23.558981,-46.56893
Academia de Ginastica_11.093.386,Smart Fit,Academia Smart Fit Avenida Conselheiro Carrao,Rua,Av. Conselheiro Carrão,Vila Gomes Cardim,03403000,Academia de Ginastica,-23.549771,-46.545412
Academia de Ginastica_11.093.387,Bluefit,Bluefit,Rua,Alfredo Pujol,Santana,02017011,Academia de Ginastica,-23.500255,-46.634622
Academia de Ginastica_11.093.388,Smart Fit,Academia Smart Fit Tiete Plaza Shopping,Rua,Av. Raimundo Pereira de Magalhães,Vila Pirituba,02675031,Academia de Ginastica,-23.460084,-46.720966
Academia de Ginastica_11.093.390,Smart Fit,Academia Smart Fit Imirim,Rua,Av. Eng. Caetano Álvares,Imirim,02413100,Academia de Ginastica,-23.50488,-46.667358
Academia de Ginastica_11.093.391,Smart Fit,Academia Smart Fit Vila Formosa,Rua,Av. Ver. Abel Ferreira,Vila Formosa,03372015,Academia de Ginastica,-23.565181,-46.558989
Academia de Ginastica_11.093.392,Smart Fit,Academia Smart Fit Casa Verde Baixa,Rua,Rua Bernardino Fanganiello,Casa Verde,02512000,Academia de Ginastica,-23.513044,-46.659692
Academia de Ginastica_11.093.393,Bluefit,Bluefit,Rua,R. Mateus Mascarenhas,Jardim Pereira Leite,02712000,Academia de Ginastica,-23.50492,-46.67576
Academia de Ginastica_11.093.394,Bluefit,Academia Bluefit Vila Guilherme,Rua,Av. Joaquina Ramalho,Vila Guilherme,02065040,Academia de Ginastica,-23.517187,-46.610453
Academia de Ginastica_11.093.395,Smart Fit,Academia Smart Fit Washington Luis,Rua,Av. Washington Luís,Santo Amaro,04662002,Academia de Ginastica,-23.640015,-46.673749
Academia de Ginastica_11.093.397,Panobianco,Panobianco Vila Ema,Rua,Av. Vila Ema,Vila Graciosa,03282001,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.093.399,Smart Fit,Academia Smart Fit Atlantica,Rua,Av. Inácio Cunha Leme,Jardim Ipanema,04784145,Academia de Ginastica,-23.690646,-46.710144
Academia de Ginastica_11.093.400,Bio Ritmo,Academia Bio Ritmo Morumbi,Rua,Av. Giovanni Gronchi,Vila Andrade,05724003,Academia de Ginastica,-23.617229,-46.731713
Academia de Ginastica_11.093.401,Smart Fit,Academia Smart Fit Jamaris,Rua,Av. Jamaris,Planalto Paulista,04078001,Academia de Ginastica,-23.607678,-46.658158
Academia de Ginastica_11.093.403,Smart Fit,Academia Smart Fit Avenida Celso Garcia,Rua,Av. Celso Garcia,Tatuapé,03064000,Academia de Ginastica,-23.535244,-46.582602
Academia de Ginastica_11.093.404,Bluefit,Bluefit,Rua,R. Nossa Sra. das Mercês,Vila das Merces,04165011,Academia de Ginastica,-23.624154,-46.607257
Academia de Ginastica_11.093.405,Smart Fit,Academia Smart Fit Itaim Paulista,Rua,Rua Tibúrcio de Sousa,Itaim Paulista,08140000,Academia de Ginastica,-23.50496,-46.396507
Academia de Ginastica_11.093.406,Bluefit,Bluefit,Rua,Av. Pres. Tancredo Neves,Sacomã,04287010,Academia de Ginastica,-23.614427,-46.608581
Academia de Ginastica_11.093.407,Smart Fit,Academia Smart Fit Teodoro Sampaio,Rua,R. Teodoro Sampaio,Pinheiros,05405200,Academia de Ginastica,-23.561305,-46.683749
Academia de Ginastica_11.093.408,Smart Fit,Academia Smart Fit Ponte Rasa,Rua,Av. São Miguel,Vila Marieta,03619100,Academia de Ginastica,-23.493914,-46.439603
Academia de Ginastica_11.093.410,Smart Fit,Academia Smart Fit Avenida Santa Catarina,Rua,Av. Santa Catarina,Vila Mascote,04378300,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.093.411,Smart Fit,Academia Smart Fit Vila Guilherme,Rua,Av. Joaquina Ramalho,Vila Guilherme,02065000,Academia de Ginastica,-23.517187,-46.610453
Academia de Ginastica_11.093.412,Panobianco,Academia Panobianco Sao Rafael,Rua,Av. Sen. Teotônio Vilela,Jardim Sao Rafael,04833000,Academia de Ginastica,-23.627917,-46.454945
Academia de Ginastica_11.093.413,Smart Fit,Academia Smart Fit Roldao Brasilandia,Rua,R. Domingos Vega,Vila Joao Batista,02837000,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.093.414,Bluefit,Bluefit,Rua,Av. Hélio Pellegrino,Vila Nova Conceição,04513100,Academia de Ginastica,-23.596543,-46.664139
Academia de Ginastica_11.093.416,Panobianco,Academia Panobianco Vila Antonieta,Rua,Av. Inconfidência Mineira,Vila Antonieta,03476010,Academia de Ginastica,-23.576075,-46.515466
Academia de Ginastica_11.093.417,Smart Fit,Academia Smart Fit Paulista,Rua,Av. Paulista,Bela Vista,01310100,Academia de Ginastica,-23.56329,-46.654118
Academia de Ginastica_11.093.418,Smart Fit,Academia Smart Fit Vila Prudente,Rua,Av. Professor Luiz Ignácio Anhaia Mello,Parque da Vila Prudente,03155000,Academia de Ginastica,-23.590227,-46.54381
Academia de Ginastica_11.093.419,Bluefit,Bluefit,Rua,Av. Jabaquara,Mirandópolis,04045003,Academia de Ginastica,-23.616907,-46.638943
Academia de Ginastica_11.093.420,Panobianco,Panobianco Itaim Paulista Academia,Rua,Rua Cordão de São Francisco,Vila Aimore,08190000,Academia de Ginastica,-23.493627,-46.401715
Academia de Ginastica_11.093.421,Engenharia do Corpo,Academia Engenharia do Corpo,Rua,Av. Dr. Ricardo Jafet,Vila Santa Eulália,04260020,Academia de Ginastica,-23.578922,-46.611677
Academia de Ginastica_11.093.422,Bio Ritmo,Academia Bio Ritmo Shopping Patio Higienopolis,Rua,Av. Higienópolis,Higienópolis,01238000,Academia de Ginastica,-23.54331,-46.657219
Academia de Ginastica_11.093.423,Fórmula Academia,Formula Academia Frei Caneca,Rua,R. Frei Caneca,Bela Vista,01307001,Academia de Ginastica,-23.553913,-46.653522
Academia de Ginastica_11.093.426,Bluefit,Academia Bluefit Liviero,Rua,Av. Carlos Liviero,Vila Liviero,04186100,Academia de Ginastica,-23.64518,-46.593225
