id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Academia de Ginastica_10.395.293,Companhia Athletica,Cia111,Rua,"R José Guerra, 111",Chácara Santo Antônio,04719030,Academia de Ginastica,-23.618596,-46.573278,POINT (-46.573278 -23.618596)
Academia de Ginastica_11.093.389,Smart Fit,Academia Smart Fit Sapopemba,Rua,Av. Sapopemba,Jardim Adutora,03988010,Academia de Ginastica,-23.620798,-46.513838,POINT (-46.513838 -23.620798)
Academia de Ginastica_11.093.396,Smart Fit,Academia Smart Fit Agua Branca,Rua,Av. Francisco Matarazzo,Água Branca,05001100,Academia de Ginastica,-22.751938,-47.629119,POINT (-47.629119 -22.751938)
Academia de Ginastica_11.093.398,Bluefit,Bluefit Continental,Rua,100 Pavmto2,Parque Continental,05328020,Academia de Ginastica,-23.546261,-46.761435,POINT (-46.761435 -23.546261)
Academia de Ginastica_11.093.402,Smart Fit,Academia Smart Fit Shopping Heliopolis,Rua,Est. das Lágrimas,São João Climaco,04244000,Academia de Ginastica,-23.412811,-46.456712,POINT (-46.456712 -23.412811)
Academia de Ginastica_11.093.409,Smart Fit,Academia Smart Fit Raposo Tavares,Rua,Rod. Raposo Tavares,Jardim Cambara,05577901,Academia de Ginastica,-23.586236,-46.811597,POINT (-46.811597 -23.586236)
Academia de Ginastica_11.093.425,Smart Fit,Academia Smart Fit Aricanduva,Rua,Av. Aricanduva,Jardim Santa Teresinha,03527900,Academia de Ginastica,-23.635285,-46.532496,POINT (-46.532496 -23.635285)
Academia de Ginastica_11.093.428,Smart Fit,Academia Smart Fit Vila Alpina,Rua,R. Costa Barros,Sítio Pinheirinho,03210001,Academia de Ginastica,-23.436673,-46.300431,POINT (-46.300431 -23.436673)
Academia de Ginastica_11.094.643,Smart Fit,Academia Smart Fit Est do Mboi Mirim,Rua,Est. do M'boi Mirim,Jardim das Flores,04906900,Academia de Ginastica,-23.536505,-46.79336,POINT (-46.79336 -23.536505)
Academia de Ginastica_11.094.646,Smart Fit,Academia Smart Fit Shopping Interlagos,Rua,Av. Interlagos,Jardim Umuarama,04661200,Academia de Ginastica,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Academia de Ginastica_11.094.658,Smart Fit,Academia Smart Fit Parque Sao Lucas,Rua,Av. do Oratório,Jardim Guairaca,03220200,Academia de Ginastica,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Academia de Ginastica_11.094.664,Panobianco,Panobianco Boturussu,Rua,Av. São Miguel,Jardim Cotinha,03871100,Academia de Ginastica,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Academia de Ginastica_11.094.671,Smart Fit,Academia Smart Fit Santa Cecilia,Rua,Alameda Barros,Vila Buarque,01226020,Academia de Ginastica,-23.448312,-46.505999,POINT (-46.505999 -23.448312)
Academia de Ginastica_11.094.678,Smart Fit,Academia Smart Fit Shopping Campo Limpo,Rua,Estr. do Campo Limpo,Vila Prel,05777970,Academia de Ginastica,-22.109489,-49.070391,POINT (-49.070391 -22.109489)
Academia de Ginastica_11.094.679,Bluefit,Bluefit,Rua,R. Verbo Divino,Chácara Santo Antônio,04719001,Academia de Ginastica,-23.618596,-46.573278,POINT (-46.573278 -23.618596)
Academia de Ginastica_11.094.684,Selfit,Selfit Academias Vila Santa Clara,Rua,Rua Buenópolis,Vila Santa Clara,03161010,Academia de Ginastica,-22.796107,-45.222032,POINT (-45.222032 -22.796107)
Academia de Ginastica_11.094.687,Smart Fit,Academia Smart Fit Belenzinho,Rua,R. Cajuru,Belenzinho,03057000,Academia de Ginastica,-23.648148,-46.820232,POINT (-46.820232 -23.648148)
Academia de Ginastica_11.094.690,Panobianco,Panobianco Baruel,Rua,Av. Baruel,Vila Baruel,02522000,Academia de Ginastica,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Academia de Ginastica_11.094.694,Smart Fit,Academia Smart Fit Shopping Cidade Tiradentes,Rua,Estr. Iguatemi,Jardim Pedra Branca,08490500,Academia de Ginastica,-23.113974,-48.612917,POINT (-48.612917 -23.113974)
Academia de Ginastica_11.094.734,Smart Fit,Smart Fit Carrefour Raposo Tavares,Rua,Jardim Cláudia,Jardim Cláudia,05577200,Academia de Ginastica,-23.73052345,-46.57617757640044,POINT (-46.57617757640044 -23.73052345)
Academia de Ginastica_11.094.740,Smart Fit,Academia Smart Fit Jardim Miriam,Rua,Av. Cupecê,Jardim Prudência,04366001,Academia de Ginastica,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Academia de Ginastica_11.094.750,Smart Fit,Smart Fit,Rua,Estr. do Alvarenga,Balneário São Francisco,04474340,Academia de Ginastica,-23.661074,-46.820136,POINT (-46.820136 -23.661074)
Academia de Ginastica_11.094.759,Smart Fit,Academia Smart Fit SP Market,Rua,Av. das Nações Unidas,Jurubatuba,04795000,Academia de Ginastica,-23.5247,-46.758439,POINT (-46.758439 -23.5247)
Academia de Ginastica_11.094.764,Smart Fit,Academia Smart Fit Itaberaba II,Rua,Av. Itaberaba,Vila Primavera,02734000,Academia de Ginastica,-23.35475,-47.844432,POINT (-47.844432 -23.35475)
Academia de Ginastica_11.094.768,Smart Fit,Academia Smart Fit Sao Miguel,Rua,Av. São Miguel,Jardim Cotinha,03870100,Academia de Ginastica,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Academia de Ginastica_11.094.780,Smart Fit,Academia Smart Fit Jabaquara,Rua,Rua das Perobas,Jardim Oriental,04321120,Academia de Ginastica,-23.609495,-46.548993,POINT (-46.548993 -23.609495)
