id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Shopping Center_10128725,,Shopping Trimais,Rua,Av Tucuruvi 220,Tucuruvi,,Shopping Center,-23.478655,-46.608934
Shopping Center_10395925,,Andorinha Hiper Center,Rua,"Av. Parada Pinto, 2262",Lauzane Paulista,,Shopping Center,-23.47207,-46.650083
Shopping Center_1290654,,Top Center Shopping,Rua,Av Paulista 854,Bela Vista,01311-000,Shopping Center,-23.56567,-46.650727
Shopping Center_2884597,,Jaragua Cenesp,Rua,Av Maria Coelho Aguiar 215,Jd São Luís,05804-900,Shopping Center,-23.647098,-46.73072
Shopping Center_357943,,Santana Shopping,Rua,Av Voluntários da Pátria 2182,Santana,02010-820,Shopping Center,-23.501068,-46.625803
Shopping Center_357974,,Mais Shopping,Rua,R Amador Bueno 229,Santo Amaro,04752-005,Shopping Center,-23.653182,-46.710274
Shopping Center_358077,,Cidade São Paulo,Rua,Av Paulista 1230,Masp,01311-300,Shopping Center,-23.541662,-46.331044
Shopping Center_358078,,Tietê Plaza Shopping,Rua,Av Raimundo Pereira de Magalhães 1465,Pirituba,05145-000,Shopping Center,-23.506122,-46.718363
Shopping Center_358277,,Iguatemi Sao Paulo,Rua,Av Brigadeiro Faria Lima 2232,Jd Paulistano,01489-900,Shopping Center,-23.435599,-46.52225
Shopping Center_358278,,Lar Center,Rua,Av Otto Baumgart 500,Vila Guilherme,02049-900,Shopping Center,-23.517497,-46.61494
Shopping Center_358279,,Leste Aricanduva,Rua,Av Aricanduva 5555,Vila Matilde,03527-900,Shopping Center,-23.565994,-46.504011
Shopping Center_358280,,Continental,Rua,Av Leão Machado 100,Jaguaré,05328-020,Shopping Center,-23.547918,-46.756959
Shopping Center_358281,,Penha,Rua,R Dr João Ribeiro 304,Penha de Franca,03634-000,Shopping Center,-23.525178,-46.546752
Shopping Center_358282,,Center Lapa - SP,Rua,R Guaicurus 72,Lapa,05049-901,Shopping Center,-23.521075,-46.70079
Shopping Center_358283,,West Plaza,Rua,Av Francisco Matarazzo S/N,Água Branca,05003-100,Shopping Center,-23.633018,-46.515757
Shopping Center_358284,,Jardim Sul,Rua,R Itacaiúna 61,Vila Andrade,05716-070,Shopping Center,-23.63033,-46.735609
Shopping Center_358285,,Villa-lobos,Rua,Av das Nações Unidas 4777,Alto de Pinheiros,05512-300,Shopping Center,-23.551053,-46.72211
Shopping Center_358286,,Plaza Sul,Rua,Pça Leonor Kaupa 100,Jardim da Saúde,04151-100,Shopping Center,-23.619849,-46.626891
Shopping Center_358287,,Shopping Butantã,Rua,Av Prof Francisco Morato 2718,Butantã,05512-300,Shopping Center,-23.586835,-46.724816
Shopping Center_358288,,SP Market,Rua,Av das Nações Unidas 22540,Jurubatuba,04795-000,Shopping Center,-23.680308,-46.699061
Shopping Center_358289,,Interlar Interlagos,Rua,Av Interlagos 2225,Interlagos,04661-200,Shopping Center,-23.673157,-46.677698
Shopping Center_358290,,Shopping D,Rua,Av Cruzeiro do Sul 1100,Canindé,03033-020,Shopping Center,-23.521389,-46.623938
Shopping Center_358291,,Fiesta,Rua,Av Guarapiranga 752,Socorro,04762-001,Shopping Center,-23.664626,-46.722178
Shopping Center_358292,,Raposo Shopping,Rua,Rod Raposo Tavares Km 145,Jd Boa Vista,05577-200,Shopping Center,-23.638568,-46.561456
Shopping Center_358293,,D&d,Rua,Av das Nações Unidas 12555,Berrini - Vila Funchal,04578-903,Shopping Center,-23.779579,-45.358564
Shopping Center_358294,,Market Place,Rua,Av Doutor Chucri Zaidan 902,Vila Cordeiro,04795-100,Shopping Center,-23.621504,-46.699919
Shopping Center_358295,,Metrô Tatuapé,Rua,R Dr Melo Freire S/N,Tatuapé,03306-010,Shopping Center,-23.540694,-46.575536
Shopping Center_358296,,Patio Higienópolis,Rua,Av Higienópolis 618,Higienópolis,01238-000,Shopping Center,-22.741869,-47.645054
Shopping Center_358298,,Central Plaza Shopping,Rua,Av Dr Francisco Mesquita 1000,Vila Prudente,03153-001,Shopping Center,-23.593349,-46.585906
Shopping Center_358299,,Interlar Aricanduva,Rua,Av Aricanduva 5555,Vila Matilde,03527-900,Shopping Center,-23.565994,-46.504011
Shopping Center_358300,,Interlagos,Rua,Av Interlagos 2255,Jd Umuarama,04661-200,Shopping Center,-23.676287,-46.676811
Shopping Center_358302,,Center Norte,Rua,Tv Casalbuono 120,Vila Guilherme,02089-900,Shopping Center,-23.516285,-46.618037
Shopping Center_358303,,Eldorado,Rua,Av Rebouças 3970,Pinheiros,05402-600,Shopping Center,-23.572933,-46.69623
Shopping Center_358304,,Ibirapuera,Rua,Av Ibirapuera 3103,Moema,04029-902,Shopping Center,-23.609673,-46.667723
Shopping Center_358305,,Patio Paulista,Rua,R Treze de Maio 1947,Bela Vista,01327-001,Shopping Center,-23.570874,-46.643698
Shopping Center_358306,,Metrô Santa Cruz,Rua,R Domingos de Morais 2564,Vila Mariana,04036-100,Shopping Center,-23.59907,-46.637199
Shopping Center_358307,,Shopping Frei Caneca,Rua,"R Frei Caneca, 569",Consolação,01307-001,Shopping Center,-23.554078,-46.652467
Shopping Center_358310,,Light,Rua,R Cel Xavier de Toledo 23,Centro,01048-100,Shopping Center,-23.546637,-46.638637
Shopping Center_358316,,Metrô Boulevard Tatuapé,Rua,R Gonçalves Crespo S/N,Tatuapé,03066-030,Shopping Center,-23.538553,-46.575115
Shopping Center_358317,,Metrô Itaquera,Rua,Av José Pinheiro Borges S/N,Itaquera,08220-900,Shopping Center,-23.531539,-46.430047
Shopping Center_358318,,Metrô Tucuruvi,Rua,Av Dr Antônio Maria Laet 566,Tucuruvi,02267-000,Shopping Center,-23.479626,-46.602396
Shopping Center_358321,,Nações Unidas,Rua,Av das Nações Unidas 12901,Brooklin Novo,04578-910,Shopping Center,-23.5247,-46.758439
Shopping Center_358328,,Santana Parque Shopping,Rua,R Conselheiro Moreira de Barros 2780,Santana,02430-001,Shopping Center,-23.48282,-46.644668
Shopping Center_358330,,Vila Olímpia,Rua,R Olimpiadas 360,Vila Olimpia,04551-000,Shopping Center,-20.738465,-48.913529
Shopping Center_358334,,Mega Polo Moda,Rua,R Barão de Ladário 566,Brás,03010-000,Shopping Center,-23.537223,-46.619009
Shopping Center_358427,,Mooca Plaza Shopping,Rua,R Capitão Pacheco e Chaves 313,Mooca,03126-000,Shopping Center,-23.579201,-46.594749
Shopping Center_358588,,Analia Franco,Rua,Av Regente Feijó 1739,Tatuapé,03342-000,Shopping Center,-23.56146,-46.56016
Shopping Center_358591,,Boavista Shopping,Rua,R Borba Gato 59,Santo Amaro,04747-030,Shopping Center,-23.654767,-46.700974
Shopping Center_358597,,Cidade Jardim,Rua,Av Magalhães de Castro 12000,Real Parque,05502-001,Shopping Center,-24.061125,-46.559202
Shopping Center_358598,,Campo Limpo,Rua,Estr do Campo Limpo 459,Vila Prel,05777-001,Shopping Center,-23.472259,-46.308702
Shopping Center_358603,,Iguatemi Jk,Rua,Av Presidente Juscelino Kubitschek 2041,Itaim Bibi,04543-011,Shopping Center,-23.590899,-46.689525
Shopping Center_358606,,Shopping Center 3,Rua,Av Paulista 2064,Cerqueira César,01310-928,Shopping Center,-23.0349,-49.165198
Shopping Center_358611,,Morumbi Shopping,Rua,Av Roque Petroni Junior 1089,Jardim das Acácias,04707-900,Shopping Center,-23.623109,-46.698569
Shopping Center_358613,,Bourbon São Paulo,Rua,R Palestra Itália 500,Perdizes,05005-030,Shopping Center,-23.526682,-46.680867
Shopping Center_4153756,,Cantareira Norte Shopping,Rua,Av Raimundo Pereira de Magalhães 11001,Parada de Taipas,02984-035,Shopping Center,-23.946608,-46.326678
