RGI,Latitude,Longitude
31678723,-23.576186,-46.638664
31634723,-22.9669499122686,-47.1371364605565
31377623,-23.542492,-46.355553
31968823,-23.603768,-46.665856
35948616,-23.6040309869635,-46.5585922495987
11314236,-23.644493487072,-46.6107848270531
31138523,-23.541236,-46.782663
31861823,-23.609132,-46.656022
35566621,-23.5288077688424,-46.4916639186325
33205923,-23.549135,-46.760007
31247623,-23.545689,-46.6454508478851
30907423,-23.5968014311712,-46.6663428368053
38037522,-23.541427,-46.456622
11993238,-23.5285016572517,-46.4472622617493
31369623,-23.569866,-46.710392
30206123,-23.5612028557445,-46.5961674430132
30292123,-23.651158,-46.560662
399761222,-23.614492,-46.68427
31638723,-23.604556,-46.670968
31847823,-23.6037099772078,-46.6615134723873
397951222,-23.55903,-46.667008
10481232,-23.55903,-46.667008
31173523,-23.540105,-46.653996
380971216,-23.6039190942281,-46.6787994589302
10444232,-23.6075470050912,-46.6685079967346
31207623,-23.542322,-46.572057
31851823,-23.6779609833424,-46.7081523061342
30278123,-23.5733351028091,-46.6533149386578
30876323,-22.6867352280986,-47.667393583992
34786421,-23.620013307907,-46.6349784705532
30549223,-23.5407098691256,-46.1935734576721
31961823,-23.532024,-46.448205
31078423,-23.4808302114149,-46.5871037141209
30433223,-23.5386870978225,-46.7189607349529
398641222,-23.5933832281245,-46.6682373403539
35691721,-23.582667,-46.579813
30996423,-23.5383911489861,-46.7489438551559
32080823,-23.5593166265501,-46.6136618146458
30804323,-22.7806537565643,-47.1364984576721
30505223,-23.567085,-46.645987
31064423,-23.586625,-46.725585
30160123,-23.597756,-46.471449
10713233,-23.597756,-46.471449
31090523,-23.6020646746031,-46.6567323558197
31573623,-22.877887,-47.020928
31619723,-23.6419160785035,-46.736056631773
397981222,-23.579764,-46.676257
398571222,-23.3999405520708,-46.3202051650238
398781222,-23.5960559016946,-46.6829525889549
31243623,-23.5413715846615,-46.5568253816147
11277236,-23.5413733234186,-46.5568012417336
95112211,-23.718694,-46.846091
11262236,-23.718661,-46.846117
97252211,-23.624963,-46.691961
30307123,-23.671492,-46.515472
31269623,-23.527254,-46.45286
30430223,-23.4742399801512,-46.5249043472213
31110523,-23.5294518769147,-46.5307837404928
31117523,-23.5562045686348,-46.6146393349877
31630723,-22.902464589308,-47.0442172095818
31141523,-23.6173452100177,-46.6239694557676
31073423,-23.536277,-46.532266
31079423,-23.6026285141659,-46.4607855214958
37455122,-23.5334936037454,-46.4053578134918
31444623,-23.564681,-46.644524
31242623,-23.5624111514644,-46.6740499450607
7574222,-23.44355,-46.543957
13204239,-23.6267826374646,-46.6916136883259
11272236,-23.561137,-46.597171
31276623,-23.54032,-46.55947
30775323,-22.8490578670362,-47.0538376527786
30193123,-23.657078,-46.613287
31142523,-23.6302871969901,-46.5982054232788
30814323,-23.666997,-46.788384
11080234,-23.583937,-46.715981
11083234,-23.583937,-46.715981
31076423,-23.583937,-46.715981
36153821,-23.664454227746,-46.7256603756714
30204123,-23.51384,-46.582872
34677421,-23.6283664994213,-46.7001163873844
32451318,-23.5434899612709,-46.5781029957009
30282123,-23.5631696973983,-46.5467107324925
30073123,-22.747722,-47.182047
31629723,-22.8954758731941,-47.030060635582
30434223,-23.5798369604305,-46.642365285532
38328722,-23.4986649868875,-46.7085394779272
327711120,-23.606245341178,-46.6906965299543
360451014,-23.4996018902059,-46.4632634625656
30778323,-23.605936163854,-46.6910610530777
31340623,-22.8892361516116,-47.0554618717757
31171523,-23.6148501538453,-46.6862876917267
31708723,-23.450952426495,-46.6717616858444
32010823,-23.547685,-46.414624
30274123,-23.5829466496348,-46.6349306231746
10868233,-23.5829480434579,-46.6348894282417
379951019,-23.5359775,-46.566912
10652233,-23.536127,-46.567072
30353123,-23.647516,-46.644265
31068423,-23.607239,-46.6921671079693
31174523,-23.6427787537142,-46.7215535795746
30821323,-23.5553341121038,-46.5502868837795
30435223,-23.6439206690539,-46.7399872417336
32084823,-23.539507,-46.712499
31319623,-23.5788377353402,-46.6482481815453
30746323,-23.4963910600244,-46.4434429105549
31004423,-23.5600976578267,-46.5985380699406
31065423,-23.608411,-46.668364
31563623,-23.6091850892168,-46.6678496550865
31098523,-23.600462,-46.61487
31433623,-23.5635257596819,-46.5655048735065
38321722,-23.692312,-46.586838
31341623,-22.716496,-47.634561
31190623,-22.600366,-47.38754
35955616,-23.5642429,-46.5949271
31271623,-23.561137,-46.597171
30168123,-22.713315,-47.639308
30784323,-23.5161075212667,-46.8594429265976
10491232,-23.52164,-46.670388
30490223,-23.5215367075672,-46.6703665423279
37592222,-23.4762035863568,-46.6024020512429
31158523,-23.58557,-46.637891
31318623,-23.564994,-46.563787
31115523,-23.684695,-46.682041
31119523,-23.4637484320636,-46.5806074404755
32110823,-23.464237928138,-46.5850105803566
399221222,-23.632886630977,-46.7377243508568
32105823,-23.5719764584013,-46.4520720932541
394231022,-23.3738029947876,-46.7018314232788
30473223,-22.890928,-47.045029
31620723,-23.5273297077138,-46.6605297349529
30313123,-23.6273444806491,-46.6910499067459
30311123,-23.571052,-46.641853
31153523,-23.551632,-46.680541
31623723,-23.608397,-46.669044
31886823,-22.891206,-47.050605
38329722,-23.50252,-46.192639
31902823,-22.8943124675573,-47.1004666325236
365671021,-23.5578758711156,-46.6659846122684
32074823,-23.5126216739745,-46.7040022936707
30715323,-23.534338,-46.679653
30768323,-23.595498420395,-46.6745345423279
32086823,-23.6130041127426,-46.6678566273764
31345623,-23.556108888386,-46.6525050548782
399911222,-23.545724,-46.660474
10359231,-23.511254,-46.431008
38400722,-23.5054847415496,-46.6845656441803
30914423,-23.555464,-46.608543
38306722,-23.626061,-46.66746
31140523,-23.4882339686822,-46.8634103399505
35476621,-23.528901,-46.51321
398991222,-23.478023,-46.700778
367501121,-23.6333417641046,-46.6909793821917
31099523,-23.5308989328557,-46.6754491779098
31198623,-22.8086509556425,-47.2510267655373
30315123,-23.5326567816393,-46.5204867238731
31344623,-23.6427043524038,-46.5057045896492
31245623,-23.6133767929341,-46.6725621448441
31067423,-23.5510390693803,-46.6786402478504
31201623,-23.57527,-46.606552
30901423,-23.5320087584944,-46.5023523963299
31997823,-23.672552663113,-46.5269876588955
37936422,-23.5524902089407,-46.9249020522232
10397232,-23.5520820531604,-46.9259937112923
11604237,-23.7397246965228,-46.5399124980087
399011222,-23.538361,-46.672665
37358122,-23.5657717170926,-46.6560025045661
30354123,-23.497844608921,-46.5138770602367
31297623,-23.5336616239305,-46.5532803082123
31975823,-23.546488,-46.402184
31147523,-23.546488,-46.402184
31624723,-23.5505642247607,-46.4527619153443
30776323,-23.5497794550309,-46.4533979067459
30356123,-23.666310410739,-46.6539545753937
30470223,-22.8901555221676,-47.044519682209
368151121,-23.5243541385191,-46.6502604404754
30816323,-22.841955,-47.22136
31104523,-23.5821586656865,-46.5551756894798
31136523,-23.6694379745154,-46.7218837609425
30432223,-23.561988,-46.69192
31113523,-23.5278130525902,-46.5613203583012
31172523,-23.5596241270776,-46.6518201052361
30104123,-23.5803968779854,-46.6700254957008
33176923,-23.540467,-46.58834
31070423,-23.607807,-46.654776
11921238,-22.943885,-47.160628
31920823,-22.943885,-47.160628
394381022,-23.5730377262024,-46.6374157116394
5623217,-23.5182026675602,-46.7147329442166
88535172,-23.5875898745871,-46.9264112947204
30152123,-22.7166166551516,-47.649092
31354623,-23.579362,-46.675405
10975234,-23.5877285368168,-46.7229510767517
30910423,-23.5877251744855,-46.7229298711986
30622223,-23.602747,-46.656039
31575623,-23.603359,-46.656505
366391121,-23.4584466316568,-46.9202122698364
30793323,-23.5652849263846,-46.514179609787
392191022,-23.661749,-46.783026
30431223,-23.665016,-46.520944
31291623,-22.8836201869574,-47.0636567387619
31616723,-23.561313,-46.669156
34667421,-23.6040302931961,-46.6059397673377
31091523,-23.48286,-46.611906
30545223,-23.538965,-46.780876
