longitude,latitude,etr_nome,etr_linha,etr_situac,etr_empres
-46.4932412959916,-23.44695335371459,GUARULHOS CECAP,JADE,OPERANDO,CPTM
-46.93523338040629,-23.5456486961936,ITAPEVI,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.70167346948966,-23.6769477942276,JURUBATUBA,ESMERALDA,OPERANDO,VIAMOBILIDADE
-46.77542936913488,-23.52725988463473,OSASCO,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.57600407460225,-23.53973950323133,TATUAPÉ,CORAL,OPERANDO,CPTM
-46.42048088979055,-23.49221571644662,JARDIM HELENA - VILA MARA,SAFIRA,OPERANDO,CPTM
-46.38494020226318,-23.48433402659667,JARDIM ROMANO,SAFIRA,OPERANDO,CPTM
-46.68859113350994,-23.52094757847275,ÁGUA BRANCA,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.38321865477154,-23.55386060104706,ANTONIO GIANETTI NETO,CORAL,OPERANDO,CPTM
-46.85844678252598,-23.516343972496,ANTÔNIO JOÃO,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.33863406242734,-23.49925072037303,ARACARÉ,SAFIRA,OPERANDO,CPTM
-46.72316613454574,-23.30940489738477,BALTAZAR FIDELIS,RUBI,OPERANDO,CPTM
-46.66706237743752,-23.52509622963814,PALMEIRAS - BARRA FUNDA,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.8747163597904,-23.51207079614933,BARUERI,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.76728132560252,-23.2353401774312,BOTUJURU,RUBI,OPERANDO,CPTM
-46.225080448257,-23.53581144297878,BRÁS CUBAS,CORAL,OPERANDO,CPTM
-46.75118182098858,-23.36578936673617,CAIEIRAS,RUBI,OPERANDO,CPTM
-46.78483786882505,-23.20620270276758,CAMPO LIMPO PAULISTA,RUBI,OPERANDO,CPTM
-46.48965659673233,-23.65786042351709,CAPUAVA,TURQUESA,OPERANDO,CPTM
-46.83496240781676,-23.51804913956425,CARAPICUÍBA,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.74215645770385,-23.53693144923887,CEASA,ESMERALDA,OPERANDO,VIAMOBILIDADE
-46.71132311605898,-23.55715474997013,CIDADE UNIVERSITÁRIA,ESMERALDA,OPERANDO,VIAMOBILIDADE
