longitude,latitude,pt_nome,pt_descric,pt_enderec
-46.77294812320426,-23.63042399005118,"TERM. CAMPO LIMPO , 0",R CAMPINA GRANDE/ AV VITOR GABRIEL,CAMPINA GRANDE/ AV VITOR GABRIEL
-46.47559667579667,-23.61345119630004,"TERM. S. MATEUS - PLAT. C , 0",AV SAPOPEMBA/ PC FELISBERTO FERNANDES DA SILVA,AV SAPOPEMBA/ PC FELISBERTO FERNANDES DA SILVA
-46.40966033893388,-23.58177814562852,"AV. SOUZA RAMOS , 406",LOJAS DE DOCE KAROL,LOJAS DE DOCE KAROL
-46.64161298667667,-23.69901030203051,"R. CARDOSO DE MELO NETO , 497",R DOS CURIMATAS/ R DELFIM DO PRATA,DOS CURIMATAS/ R DELFIM DO PRATA
-46.47887682565261,-23.56166843655741,"R. MORUBIXABA , 440",R CARLOS JOSE DE CASTILHO/ R SEIS,CARLOS JOSE DE CASTILHO/ R SEIS
-46.45568401851035,-23.56228136640066,"ESTR. MORRO DOS OLHOS D'ÁGUA , 382",R MARIA MARGARIDA/ R CARRETEIRO,MARIA MARGARIDA/ R CARRETEIRO
-46.62589884219453,-23.48846219019597,"R. VOLUNTÁRIOS DA PÁTRIA , 3566",R DR. GUILHERME CRISTOFEL/ R TOME FERREIRA,DR. GUILHERME CRISTOFEL/ R TOME FERREIRA
-46.58298616373096,-23.49963801568817,"PÇA. PRES. JÂNIO DA SILVA QUADROS , 281",V-PED ALVURA,V-PED ALVURA
-46.44849587391362,-23.62213707867344,"AV. SAPOPEMBA (ESTR. DO RIO CLARO) , 0",R VICENTE COSTA NOGUERAS/ R CINIRA POLONIO,VICENTE COSTA NOGUERAS/ R CINIRA POLONIO
-46.69594979384415,-23.622907797749,"AV. ROQUE PETRONI JÚNIOR , 999",AV DOUTOR CHUCRI ZAIDAH,AV DOUTOR CHUCRI ZAIDAH
-46.69458625651607,-23.49151637642289,"R. BAIÃO PARENTE , 596",AVENIDA ITABERABA,AVENIDA ITABERABA
-46.44619788148955,-23.62556305672157,"AV. DOS SERTANISTAS , 522",RUA CAMPO DE PIRATININGA,UA CAMPO DE PIRATININGA
-46.45441516195362,-23.52341853621979,"R. FRANCISCO ALARICO BERGAMO , 754",R FRANCISCO SALLES MALTA JUNIOR/ R VICENTE DUTRA,FRANCISCO SALLES MALTA JUNIOR/ R VICENTE DUTRA
-46.44730423603546,-23.51922453432726,"R. FLOR DE SANTA CRUZ , 318",Próximo a Rua Nicolau Campanella,Próximo a Rua Nicolau Campanella
-46.64044448552445,-23.55702892764144,"AV. BRIG. LUÍS ANTÔNIO , 878",R HUMAITA/ R CONDESSA DE SAO JOAQUIM,HUMAITA/ R CONDESSA DE SAO JOAQUIM
-46.39785536541166,-23.60307101627619,"R. DOS PEDREIROS , 0",R TIBERIO FRONTINI/ R LUIS VERONEZI,TIBERIO FRONTINI/ R LUIS VERONEZI
-46.53845228616109,-23.57306555914597,"AV. MONTEMAGNO , 2808",R PEDRO LAROCHE/ TR ANTONIO LUIS,PEDRO LAROCHE/ TR ANTONIO LUIS
-46.63369854518099,-23.55612191200177,"VIAD. MIE KEN , 0",Rua da Glória,ua da Glória
-46.75081240772629,-23.60164605235496,"AV. INTERCONTINENTAL , 330",R SARGENTO ESTANISLAU CUSTODIO/ R ENGENHEIRO ARTUR DE MIRANDA,SARGENTO ESTANISLAU CUSTODIO/ R ENGENHEIRO ARTUR DE MIRANDA
-46.69013191414732,-23.6021338726891,"AV. NOVA INDEPENDÊNCIA , 632",R TAPEROA/ R PREBIXIM,TAPEROA/ R PREBIXIM
-46.59778918806769,-23.45614325259125,"R. MARIA AMALIA LOPES DE AZEVEDO , 2927",R NOSSA SENHORA DA CONCORDIA/ R ANTONIO ALVAREZ AIRAO,NOSSA SENHORA DA CONCORDIA/ R ANTONIO ALVAREZ AIRAO
-46.61107451235796,-23.62089655848159,"AV. PRES. TANCREDO NEVES , 3583",RUA MAURICIO MATTAR,UA MAURICIO MATTAR
-46.64464459442847,-23.51498112672828,"AV. OLAVO FONTOURA , 1400",HOSPITAL DA AERONAUTICA,HOSPITAL DA AERONAUTICA
-46.47527181578793,-23.57340337375504,"AV. AFONSO DE SAMPAIO E SOUSA , 1800",R ESTEVAO DIAS VERGARA/ R FREI CRISTOVAO SEVERIM,ESTEVAO DIAS VERGARA/ R FREI CRISTOVAO SEVERIM
-46.58521317624448,-23.49050706285179,"R. REV. ISRAEL VIEIRA FERREIRA , 615",AV NSRA DO LORETO/ R FRANCISCO MEDEIROS JORDAO,AV NSRA DO LORETO/ R FRANCISCO MEDEIROS JORDAO
-46.78611566432635,-23.44087586779905,"ROD. ANHANGUERA , 0",R PEDRO JOSE DE LIMA/,PEDRO JOSE DE LIMA/
-46.57160711991939,-23.54035780124304,"R. FERNANDES PINHEIRO , 143",R MELO FREIRE/ R PLATINA,MELO FREIRE/ R PLATINA
-46.45331483929593,-23.6204121003934,"AV. SAPOPEMBA , 25826",R Cinira Polonio,Cinira Polonio
-46.62686441972247,-23.60932465592918,"R. IBIRAREMA , 332",R TRISTAO MARIANO/ R PORANGABA,TRISTAO MARIANO/ R PORANGABA
-46.73784169403039,-23.83873396990902,"ESTR. ENG. MARSILAC , 1815",,
-46.41644859527759,-23.48992857592885,"R. ERVA DE SANTA LUZIA , 268",RUA HORTELÃ/RUA CARLO BIBIENA,UA HORTELÃ/RUA CARLO BIBIENA
-46.67065834138967,-23.52523615691371,"AV. AURO SOARES DE MOURA ANDRADE , 0",Av. Antártica / R. Prof. Abrahão Berezin,Av. Antártica / R. Prof. Abrahão Berezin
