longitude,latitude,emtp_situa,emtp_linha,emtp_nome,emtp_empre,emtp_sigla
-46.58333483104214,-23.58426118933257,PROJETADA,PRATA,VILA PRUDENTE,METRO,VPT
-46.44351377167732,-23.59418445998788,PROJETADA,PRATA,JACU-PÊSSEGO,METRO,JPS
-46.45621337730555,-23.59639218596169,PROJETADA,PRATA,BOA ESPERANÇA,METRO,BEP
-46.59639804882928,-23.5821081031141,PROJETADA,PRATA,IPIRANGA,METRO,IPG
-46.66817226918678,-23.63377733511999,PROJETADA,OURO,WASHINGTON LUIS,VIAMOBILIDADE,APT
-46.67316256375856,-23.62901919727073,PROJETADA,OURO,BROOKLIN PAULISTA,VIAMOBILIDADE,BKP
-46.67849954515643,-23.6214375394088,PROJETADA,OURO,JOSÉ DINIZ,VIAMOBILIDADE,JDZ
-46.68243360258476,-23.61842019524447,PROJETADA,OURO,CAMPO BELO,VIAMOBILIDADE,CLO
-46.68852404355636,-23.61493572069026,PROJETADA,OURO,VILA CORDEIRO,VIAMOBILIDADE,CRD
-46.69550403079823,-23.61327509918913,PROJETADA,OURO,CHUCRI ZAIDAN,VIAMOBILIDADE,CZA
-46.70148319275443,-23.6213869771364,PROJETADA,OURO,MORUMBI,VIAMOBILIDADE,MRM
-46.66104759513727,-23.626167716472,PROJETADA,OURO,AEROPORTO DE CONGONHAS,VIAMOBILIDADE,CGH
-46.5752273613321,-23.57777578622658,PROJETADA,VERDE,ORFANATO,METRO,ORF
-46.56569717779109,-23.57297185428179,PROJETADA,VERDE,SANTA CLARA,METRO,ARS
-46.55967086161613,-23.56327391157068,PROJETADA,VERDE,ANÁLIA FRANCO,METRO,NFC
-46.55070586187065,-23.56181338496879,PROJETADA,VERDE,VILA FORMOSA,METRO,FSA
-46.54496861613541,-23.55419249975171,PROJETADA,VERDE,SANTA ISABEL,METRO,GUI
-46.54125671151846,-23.54711719902322,PROJETADA,VERDE,GUILHERME GIORGI,METRO,MAN
-46.54085894150189,-23.53933111730904,PROJETADA,VERDE,ARICANDUVA,METRO,ARI
-46.54239363116096,-23.53274153685393,PROJETADA,VERDE,PENHA,METRO,PEN
-46.63883492140936,-23.56216721901127,PROJETADA,LARANJA,SÃO JOAQUIM,LINHAUNI,JQM
