longitude,latitude,etp_situac,etp_nome,etp_empres,etp_linha
-46.75362279273214,-23.60992181969313,PROJETADA,TABOÃO MSP,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.76443528520673,-23.60230476976883,PROJETADA,HORTÊNSIAS,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.76748973252326,-23.59040489374367,PROJETADA,EIRAS GARCIA,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.77155151924907,-23.5820602475816,PROJETADA,MONTE BELO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.77452876947704,-23.57469408835429,PROJETADA,JARDIM D'ABRIL,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.78278846188415,-23.56172310061818,PROJETADA,SANAZAR,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.79303523178562,-23.5531082576546,PROJETADA,NOVA GRANADA,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.79956566602731,-23.55074829088026,PROJETADA,SANTO ANTÔNIO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.80667007283901,-23.54382139508837,PROJETADA,JARDIM ROBERTO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.81310092014516,-23.53782308591659,PROJETADA,SÃO PEDRO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.82277275048327,-23.53253606068111,PROJETADA,INTEGRAÇÃO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.82780043661489,-23.53493313714554,PROJETADA,HOSPITAL GERAL,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.82986072031885,-23.5245790131718,PROJETADA,BRASIL,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.83472173283811,-23.51779470601064,PROJETADA,CARAPICUÍBA,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.83399546957274,-23.51272860902081,PROJETADA,PARQUE DA LAGOA,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.83205450629657,-23.50336965517045,PROJETADA,TAMBORÉ,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.8383157946472,-23.50089398520566,PROJETADA,ARAGUAIA,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.84788174711486,-23.4981080137151,PROJETADA,RIO NEGRO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.75666562758126,-23.62661079709692,PROJETADA,DONATELLO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.75851679775456,-23.64831216203822,PROJETADA,CAMPO LIMPO,CPTM,ALPHAVILLE - CAMPO LIMPO
-46.71150698511433,-23.76980807771367,PROJETADA,VARGINHA,VIAMOBILIDADE,ESMERALDA
-46.40689908662594,-23.43894905740546,PROJETADA,PIMENTAS,CPTM,ONIX
-46.40958482163791,-23.45714969643501,PROJETADA,SACRAMENTO,CPTM,ONIX
-46.42616856901203,-23.47600804213811,PROJETADA,HOSPITAL JARDIM HELENA,CPTM,ONIX
-46.44138847538296,-23.48999057963499,PROJETADA,SÃO MIGUEL PAULISTA,CPTM,ONIX
-46.45671743864483,-23.49762673043907,PROJETADA,VILA JACUÍ,CPTM,ONIX
-46.45556700110674,-23.51460741478397,PROJETADA,IMPERADOR,CPTM,ONIX
-46.4667404949615,-23.5272971920077,PROJETADA,CIDADE A.E. CARVALHO,CPTM,ONIX
-46.47079320203203,-23.5417148154889,PROJETADA,CORINTHIANS-ITAQUERA,CPTM,ONIX
-46.46362835612882,-23.55358131387623,PROJETADA,HOSP. SANTA MARCELINA,CPTM,ONIX
-46.46887337558911,-23.57002415077608,PROJETADA,PARQUE DO CARMO,CPTM,ONIX
-46.49130163932855,-23.58249055814979,PROJETADA,RIO DAS PEDRAS/ARICANDUVA,CPTM,ONIX
-46.49799169896887,-23.59709946054039,PROJETADA,JARDIM ITÁPOLIS,CPTM,ONIX
-46.50075752916916,-23.61419570785463,PROJETADA,SAPOPEMBA,CPTM,ONIX
-46.5031430690175,-23.6261273959819,PROJETADA,PARQUE ORATÓRIO/NEVADA,CPTM,ONIX
-46.50246950248054,-23.63359528341457,PROJETADA,HOSP. DA MULHER/CIDADE DOS MENINOS,CPTM,ONIX
-46.50191741059187,-23.64736178403063,PROJETADA,JARDIM SOROCABA,CPTM,ONIX
