longitude,latitude,cd_identif,nm_termina,nm_tipo_te,tx_enderec,cd_tipo_te
-46.6677262097655,-23.52558607913913,3,Terminal Rodoviario Intermodal Barra Funda,RODOVIARIO,"R. Auro Soares De Moura Andrade, 664, Barra Funda",2
-46.64769146249441,-23.53893024769481,4,Term. Amaral Gurgel,URBANO,Ac A Rua Ana Cintra,1
-46.55392303039586,-23.52791302431025,5,Term. Aricanduva,URBANO,Av Aricanduva,1
-46.63905613636004,-23.54917638222569,6,Term. Bandeira,URBANO,Av Nove de Julho,1
-46.76158654473006,-23.65439392558445,7,Term. Capelinha,URBANO,Est de Itapecerica,1
-46.66205102770849,-23.49582466570639,9,Term. Casa Verde,URBANO,Av Eng. Caetano Alvares,1
-46.40777861415008,-23.5828546646337,10,Term. Cid. Tiradentes,URBANO,Av Metalurgicos,1
-46.73448553677044,-23.66829409801565,12,Term. Guarapiranga,URBANO,Est do M'Boi Mirim,1
-46.69978439145449,-23.51999202609346,16,Term. Lapa,URBANO,R Guaicurus,1
-46.77183694123492,-23.63129061361084,17,Term. Largo do Campo Limpo,URBANO,Est do Campo Limpo,1
-46.72671411148653,-23.82774630646774,18,Term. Parelheiros,URBANO,Est da Colonia,1
-46.62996680571592,-23.54575632824556,19,Term. Parque D. Pedro II,URBANO,Av do Estado,1
-46.54657876963553,-23.51829188629051,20,Term. Penha,URBANO,Av Gabriela Mistral,1
-46.70129840704536,-23.56578165765025,21,Term. Pinheiros,URBANO,R Capri,1
-46.72596538202492,-23.48584357603166,22,Term. Pirituba,URBANO,Vd Raimundo Pereira de Magalhaes,1
-46.64418233814936,-23.53389217570776,23,Term. Princesa Isabel,URBANO,Av Rio Branco,1
-46.71201772369621,-23.65389788218872,25,Term. Santo Amaro,URBANO,R Pe. Jose Maria,1
-46.50016497739013,-23.61377316519442,27,Term. Sapopemba,URBANO,Av Sapopemba,1
-46.71577676200598,-23.7676754624571,28,Term. Varginha,URBANO,Av Paulo Guilguer Reimberg,1
-46.62926677941789,-23.54642633693862,29,Term. Mercado,URBANO,Av do Estado,1
-46.66878829405005,-23.47412137268075,30,Term. Vila Nova Cachoeirinha,URBANO,Av Inajar de Souza,1
-46.58474111112145,-23.58358281480705,31,Term. Vila Prudente,URBANO,Av Prf. Luiz Ignacio Anhaia Mello,1
-46.47537615760897,-23.51709181380164,32,Term. A. E. Carvalho,URBANO,Av Aguia de Haia,1
-46.64080811400832,-23.64626172309481,1,Terminal Rodoviario do Jabaquara,RODOVIARIO,"R. dos Jequitibas, Jabaquara. (Est. Jabaquara do metro)",2
-46.62456263480597,-23.51500690107053,2,Terminal Rodoviario do Tiete,RODOVIARIO,"Av. Cruzeiro do Sul, 1800, Santana (Est. Tiete do metro)",2
-46.52204583259626,-23.55801241368333,8,Term. Carrao,URBANO,Av Rio das Pedras,1
-46.69573405367734,-23.73515099579352,11,Term. Grajau,URBANO,R Giovanni Bononcini,1
-46.77336294690309,-23.68997842681472,13,Term. Jardim Angela,URBANO,Est do M'Boi Mirim,1
-46.78670265777637,-23.4306178623975,14,Term. Jardim Britania,URBANO,Av Pierre Renoir,1
-46.73334251630105,-23.64353175461875,15,Term. Joao Dias,URBANO,Av Joao Dias,1
-46.60238074179261,-23.60249308921308,24,Term. Sacoma,URBANO,Pc Altemar Dutra,1
-46.43469468918828,-23.49117742527154,26,Term. Sao Miguel,URBANO,R Idioma Esperanto,1
